layer,vec_norm,wU_frac,dKL_full,dKL_ablated,retention
1,2.246,0.0854,0.01679,0.01605,0.9558
3,2.535,0.1033,0.01771,0.01868,1.0549
7,2.933,0.1155,0.00965,0.00815,0.845
10,1.304,0.1018,0.0029,0.00255,0.8805
13,0.948,0.1114,0.00154,0.00174,1.1264
16,2.129,0.102,0.00803,0.00733,0.9127
20,1.494,0.1074,0.0032,0.003,0.939
24,17.923,0.0911,0.11957,0.11159,0.9333
27,3.48,0.1063,0.00223,0.00196,0.8784
30,3.312,0.1117,0.0011,0.001,0.906
33,3.244,0.1199,0.00064,0.00059,0.9216
34,3.406,0.119,0.00062,0.00058,0.9458
