model,exp,layer,step,norm_entropy,projE_r128,vec_norm
qwen3-4b,singlev_layers24-35_lr1e-3,24,1,0.9761,0.05711,0.0506
qwen3-4b,singlev_layers24-35_lr1e-3,25,1,0.977,0.04834,0.0506
qwen3-4b,singlev_layers24-35_lr1e-3,26,1,0.97687,0.05571,0.0506
qwen3-4b,singlev_layers24-35_lr1e-3,27,1,0.97656,0.06306,0.0506
qwen3-4b,singlev_layers24-35_lr1e-3,28,1,0.97714,0.05584,0.0506
qwen3-4b,singlev_layers24-35_lr1e-3,29,1,0.97741,0.0583,0.0505
qwen3-4b,singlev_layers24-35_lr1e-3,30,1,0.97805,0.06826,0.0505
qwen3-4b,singlev_layers24-35_lr1e-3,31,1,0.97785,0.07093,0.0505
qwen3-4b,singlev_layers24-35_lr1e-3,32,1,0.9785,0.05693,0.0505
qwen3-4b,singlev_layers24-35_lr1e-3,33,1,0.97813,0.05615,0.0505
qwen3-4b,singlev_layers24-35_lr1e-3,34,1,0.9797,0.04549,0.0505
qwen3-4b,singlev_layers24-35_lr1e-3,24,2,0.96152,0.05864,0.0983
qwen3-4b,singlev_layers24-35_lr1e-3,25,2,0.96337,0.04863,0.098
qwen3-4b,singlev_layers24-35_lr1e-3,26,2,0.96279,0.05854,0.0978
qwen3-4b,singlev_layers24-35_lr1e-3,27,2,0.96262,0.06322,0.0984
qwen3-4b,singlev_layers24-35_lr1e-3,28,2,0.96336,0.05863,0.0984
qwen3-4b,singlev_layers24-35_lr1e-3,29,2,0.96385,0.0612,0.0987
qwen3-4b,singlev_layers24-35_lr1e-3,30,2,0.96508,0.07026,0.0984
qwen3-4b,singlev_layers24-35_lr1e-3,31,2,0.96453,0.07065,0.0985
qwen3-4b,singlev_layers24-35_lr1e-3,32,2,0.96574,0.05934,0.0985
qwen3-4b,singlev_layers24-35_lr1e-3,33,2,0.96351,0.05548,0.0986
qwen3-4b,singlev_layers24-35_lr1e-3,34,2,0.96798,0.04597,0.098
qwen3-4b,singlev_layers24-35_lr1e-3,24,3,0.95626,0.05882,0.1459
qwen3-4b,singlev_layers24-35_lr1e-3,25,3,0.95851,0.04889,0.145
qwen3-4b,singlev_layers24-35_lr1e-3,26,3,0.95771,0.05995,0.1448
qwen3-4b,singlev_layers24-35_lr1e-3,27,3,0.95769,0.06311,0.1458
qwen3-4b,singlev_layers24-35_lr1e-3,28,3,0.95848,0.05908,0.1458
qwen3-4b,singlev_layers24-35_lr1e-3,29,3,0.9592,0.06203,0.1463
qwen3-4b,singlev_layers24-35_lr1e-3,30,3,0.96047,0.07078,0.1459
qwen3-4b,singlev_layers24-35_lr1e-3,31,3,0.95984,0.07041,0.1464
qwen3-4b,singlev_layers24-35_lr1e-3,32,3,0.96127,0.06016,0.1462
qwen3-4b,singlev_layers24-35_lr1e-3,33,3,0.95771,0.05507,0.1461
qwen3-4b,singlev_layers24-35_lr1e-3,34,3,0.96385,0.04586,0.145
qwen3-4b,singlev_layers24-35_lr1e-3,24,4,0.95401,0.05871,0.1932
qwen3-4b,singlev_layers24-35_lr1e-3,25,4,0.95637,0.04904,0.1918
qwen3-4b,singlev_layers24-35_lr1e-3,26,4,0.95555,0.06034,0.1916
qwen3-4b,singlev_layers24-35_lr1e-3,27,4,0.9556,0.06311,0.193
qwen3-4b,singlev_layers24-35_lr1e-3,28,4,0.95644,0.05923,0.1929
qwen3-4b,singlev_layers24-35_lr1e-3,29,4,0.95722,0.06263,0.1938
qwen3-4b,singlev_layers24-35_lr1e-3,30,4,0.95846,0.07125,0.1932
qwen3-4b,singlev_layers24-35_lr1e-3,31,4,0.95781,0.07054,0.194
qwen3-4b,singlev_layers24-35_lr1e-3,32,4,0.95934,0.06083,0.1939
qwen3-4b,singlev_layers24-35_lr1e-3,33,4,0.95523,0.05469,0.1936
qwen3-4b,singlev_layers24-35_lr1e-3,34,4,0.96208,0.04588,0.1919
qwen3-4b,singlev_layers24-35_lr1e-3,24,5,0.95288,0.05872,0.2402
qwen3-4b,singlev_layers24-35_lr1e-3,25,5,0.95526,0.04938,0.2381
qwen3-4b,singlev_layers24-35_lr1e-3,26,5,0.9545,0.06063,0.2379
qwen3-4b,singlev_layers24-35_lr1e-3,27,5,0.95453,0.06326,0.2398
qwen3-4b,singlev_layers24-35_lr1e-3,28,5,0.95537,0.05947,0.2397
qwen3-4b,singlev_layers24-35_lr1e-3,29,5,0.95618,0.06328,0.2407
qwen3-4b,singlev_layers24-35_lr1e-3,30,5,0.95741,0.07173,0.2402
qwen3-4b,singlev_layers24-35_lr1e-3,31,5,0.95674,0.07086,0.2412
qwen3-4b,singlev_layers24-35_lr1e-3,32,5,0.95831,0.06131,0.241
qwen3-4b,singlev_layers24-35_lr1e-3,33,5,0.9536,0.0548,0.2406
qwen3-4b,singlev_layers24-35_lr1e-3,34,5,0.96111,0.04603,0.2383
qwen3-4b,singlev_layers24-35_lr1e-3,24,6,0.95221,0.05869,0.2866
qwen3-4b,singlev_layers24-35_lr1e-3,25,6,0.95459,0.04944,0.2838
qwen3-4b,singlev_layers24-35_lr1e-3,26,6,0.95388,0.0608,0.2838
qwen3-4b,singlev_layers24-35_lr1e-3,27,6,0.95389,0.06344,0.286
qwen3-4b,singlev_layers24-35_lr1e-3,28,6,0.95473,0.05976,0.2859
qwen3-4b,singlev_layers24-35_lr1e-3,29,6,0.95555,0.06354,0.2871
qwen3-4b,singlev_layers24-35_lr1e-3,30,6,0.95675,0.07195,0.2864
qwen3-4b,singlev_layers24-35_lr1e-3,31,6,0.95608,0.07127,0.2877
qwen3-4b,singlev_layers24-35_lr1e-3,32,6,0.95767,0.06173,0.2874
qwen3-4b,singlev_layers24-35_lr1e-3,33,6,0.95265,0.055,0.2869
qwen3-4b,singlev_layers24-35_lr1e-3,34,6,0.96048,0.04636,0.2841
qwen3-4b,singlev_layers24-35_lr1e-3,24,7,0.95177,0.05875,0.3329
qwen3-4b,singlev_layers24-35_lr1e-3,25,7,0.95418,0.0496,0.3294
qwen3-4b,singlev_layers24-35_lr1e-3,26,7,0.95349,0.06093,0.3294
qwen3-4b,singlev_layers24-35_lr1e-3,27,7,0.95348,0.06356,0.3318
qwen3-4b,singlev_layers24-35_lr1e-3,28,7,0.9543,0.05995,0.3318
qwen3-4b,singlev_layers24-35_lr1e-3,29,7,0.95513,0.06371,0.3332
qwen3-4b,singlev_layers24-35_lr1e-3,30,7,0.95631,0.07217,0.3324
qwen3-4b,singlev_layers24-35_lr1e-3,31,7,0.95564,0.07173,0.3339
qwen3-4b,singlev_layers24-35_lr1e-3,32,7,0.95725,0.06214,0.3334
qwen3-4b,singlev_layers24-35_lr1e-3,33,7,0.95177,0.05536,0.333
qwen3-4b,singlev_layers24-35_lr1e-3,34,7,0.95999,0.04663,0.3297
qwen3-4b,singlev_layers24-35_lr1e-3,24,8,0.95146,0.05887,0.3792
qwen3-4b,singlev_layers24-35_lr1e-3,25,8,0.95389,0.04979,0.3749
qwen3-4b,singlev_layers24-35_lr1e-3,26,8,0.95323,0.06102,0.375
qwen3-4b,singlev_layers24-35_lr1e-3,27,8,0.95319,0.06361,0.3777
qwen3-4b,singlev_layers24-35_lr1e-3,28,8,0.95399,0.06024,0.3777
qwen3-4b,singlev_layers24-35_lr1e-3,29,8,0.95482,0.06397,0.3793
qwen3-4b,singlev_layers24-35_lr1e-3,30,8,0.95596,0.07241,0.3783
qwen3-4b,singlev_layers24-35_lr1e-3,31,8,0.95533,0.07208,0.38
qwen3-4b,singlev_layers24-35_lr1e-3,32,8,0.95698,0.0624,0.3795
qwen3-4b,singlev_layers24-35_lr1e-3,33,8,0.95114,0.05557,0.379
qwen3-4b,singlev_layers24-35_lr1e-3,34,8,0.9596,0.04701,0.3752
qwen3-4b,singlev_layers24-35_lr1e-3,24,9,0.95121,0.05902,0.425
qwen3-4b,singlev_layers24-35_lr1e-3,25,9,0.95367,0.05,0.42
qwen3-4b,singlev_layers24-35_lr1e-3,26,9,0.95303,0.0611,0.4202
qwen3-4b,singlev_layers24-35_lr1e-3,27,9,0.95297,0.0638,0.4229
qwen3-4b,singlev_layers24-35_lr1e-3,28,9,0.95377,0.06052,0.423
qwen3-4b,singlev_layers24-35_lr1e-3,29,9,0.95458,0.06429,0.4247
qwen3-4b,singlev_layers24-35_lr1e-3,30,9,0.95571,0.07258,0.4236
qwen3-4b,singlev_layers24-35_lr1e-3,31,9,0.95512,0.07253,0.4255
qwen3-4b,singlev_layers24-35_lr1e-3,32,9,0.95677,0.06273,0.4248
qwen3-4b,singlev_layers24-35_lr1e-3,33,9,0.95078,0.0558,0.4243
qwen3-4b,singlev_layers24-35_lr1e-3,34,9,0.95922,0.04741,0.4201
qwen3-4b,singlev_layers24-35_lr1e-3,24,10,0.95102,0.0591,0.4706
qwen3-4b,singlev_layers24-35_lr1e-3,25,10,0.95348,0.05018,0.4648
qwen3-4b,singlev_layers24-35_lr1e-3,26,10,0.95287,0.06115,0.4651
qwen3-4b,singlev_layers24-35_lr1e-3,27,10,0.95279,0.06395,0.4677
