layer,grad_pos_consistency,hidden_pos_consistency
0,0.0295,0.4949
1,0.0232,0.5489
2,0.0222,0.5134
3,0.0159,0.5178
4,0.0178,0.48
5,0.0296,0.5176
6,0.027,0.4482
7,0.0132,0.3682
8,0.0144,0.3277
9,0.0127,0.3248
10,0.0124,0.3439
11,0.0208,0.3669
12,0.0235,0.3836
13,0.0188,0.3558
14,0.0175,0.3769
15,0.0182,0.4069
16,0.0241,0.4678
17,0.0179,0.4395
18,0.0148,0.4435
19,0.0147,0.4723
20,0.0185,0.4516
21,0.0189,0.4451
22,0.0141,0.4491
23,0.0145,0.4566
24,0.0201,0.4637
25,0.016,0.4543
26,0.0163,0.4265
27,0.0143,0.4319
28,0.0095,0.4287
29,0.0147,0.4318
30,0.0155,0.4325
31,0.0178,0.4638
32,0.0176,0.4657
33,0.0358,0.4395
34,0.0369,0.588
35,0.1403,0.3953
