layer,has_vec,exp,N,vec_norm,hid_mean_norm,hid_rms,cos_meandir,inject_rel,cos_pc1,E_top1,E_top1_over_rand,E_top5,E_top5_over_rand,E_top20,E_top20_over_rand,E_top64,E_top64_over_rand,pc_centroid_rank,pc_centroid_rand
0,1,singlev_layers0-1_lr1e-3,2301,2.2234,5.681,0.183,-0.0338,0.2551,0.018,0.0003,0.825,0.0094,4.835,0.0187,2.397,0.0497,1.989,57.04,64.5
1,1,singlev_layers0-1_lr1e-3,2301,2.2459,9.306,0.362,-0.057,0.1709,0.0264,0.0007,1.78,0.0024,1.254,0.0103,1.316,0.039,1.562,57.89,64.5
2,1,singlev_layers0-11_lr1e-3,2301,0.6825,11.195,0.427,-0.0726,0.0435,0.0508,0.0026,6.611,0.004,2.039,0.0093,1.185,0.03,1.199,62.12,64.5
3,1,singlev_layers3-4_lr2e-3,2301,2.5349,13.004,0.474,-0.0291,0.1356,0.0306,0.0009,2.39,0.003,1.515,0.0183,2.34,0.0376,1.505,55.56,64.5
4,1,singlev_layers3-4_lr2e-3,2301,2.7114,16.66,0.553,-0.0222,0.1138,0.009,0.0001,0.209,0.0015,0.783,0.0102,1.304,0.0248,0.992,60.93,64.5
5,1,singlev_layers0-11_lr1e-3,2301,0.8317,20.709,0.626,-0.0221,0.0285,0.014,0.0002,0.499,0.0021,1.077,0.0104,1.327,0.0265,1.06,63.1,64.5
6,1,singlev_layers0-11_lr1e-3,2301,0.8482,177.142,33.67,-0.0256,0.0042,0.0249,0.0006,1.588,0.0025,1.269,0.0116,1.484,0.0242,0.967,56.05,64.5
7,1,singlev_layers7-8_lr1e-3,2301,2.933,177.751,33.671,0.0108,0.0142,0.0144,0.0002,0.533,0.0036,1.826,0.0086,1.106,0.0256,1.024,58.5,64.5
8,1,singlev_layers7-8_lr1e-3,2301,2.893,178.486,33.673,0.007,0.0138,0.0114,0.0001,0.33,0.0038,1.932,0.0118,1.511,0.032,1.28,60.04,64.5
9,1,singlev_layers0-11_lr1e-3,2301,0.931,179.314,33.673,-0.0271,0.0044,0.0247,0.0006,1.563,0.0024,1.208,0.0102,1.308,0.0204,0.815,63.99,64.5
10,1,singlev_layers10-11_lr1e-3,2301,1.3036,180.634,33.673,0.0196,0.0062,0.0221,0.0005,1.25,0.0026,1.331,0.0159,2.029,0.0341,1.366,58.76,64.5
11,1,singlev_layers10-11_lr1e-3,2301,1.3111,181.855,33.674,0.0181,0.0061,0.0203,0.0004,1.056,0.003,1.56,0.016,2.047,0.0333,1.331,52.47,64.5
12,1,singlev_layers12-23_lr1e-3,2301,1.048,183.669,33.676,-0.0347,0.0048,0.0288,0.0008,2.123,0.0029,1.49,0.0071,0.904,0.0196,0.783,65.44,64.5
13,1,singlev_layers12-23_lr1e-3,2301,0.9482,184.545,33.676,-0.0215,0.0043,0.0127,0.0002,0.411,0.0009,0.443,0.0062,0.792,0.0182,0.727,67.33,64.5
