layer,has_vec,exp,N,vec_norm,hid_mean_norm,hid_rms,cos_meandir,inject_rel,cos_pc1,E_top1,E_top1_over_rand,E_top5,E_top5_over_rand,E_top20,E_top20_over_rand,E_top64,E_top64_over_rand,pc_centroid_rank,pc_centroid_rand
0,1,singlev_layers0-1_lr1e-1,2790,25.9254,20.047,0.628,-0.1786,0.739,0.1835,0.0337,120.663,0.0622,44.565,0.0776,13.9,0.0927,5.192,26.53,64.5
1,1,singlev_layers0-1_lr1e-1,2790,46.2542,30.234,0.849,-0.0524,0.9621,0.0452,0.002,7.316,0.0046,3.312,0.0101,1.804,0.0201,1.124,57.52,64.5
2,1,singlev_layers0-10_lr1e-1,2790,19.673,32.817,0.999,0.0081,0.3416,0.0237,0.0006,2.012,0.0012,0.87,0.0064,1.148,0.0177,0.993,66.61,64.5
3,1,singlev_layers3-4_lr1e-1,2790,40.4485,954.234,96.486,-0.1672,0.0405,0.1654,0.0274,98.047,0.0332,23.814,0.0439,7.859,0.0583,3.264,30.73,64.5
4,1,singlev_layers3-4_lr1e-1,2790,60.3656,1105.011,107.295,-0.0313,0.0523,0.0325,0.0011,3.785,0.0034,2.439,0.0093,1.663,0.0273,1.529,55.82,64.5
5,1,singlev_layers0-10_lr1e-1,2790,28.2669,1128.222,108.103,-0.083,0.024,0.0833,0.0069,24.84,0.0072,5.185,0.0143,2.568,0.0257,1.442,50.81,64.5
6,1,singlev_layers0-10_lr1e-1,2790,34.5831,1142.418,108.863,-0.0647,0.0288,0.0645,0.0042,14.919,0.0058,4.15,0.0095,1.694,0.0233,1.305,54.18,64.5
7,1,singlev_layers0-10_lr1e-1,2790,36.4871,1149.132,109.271,-0.0413,0.0299,0.0417,0.0017,6.221,0.0027,1.909,0.0052,0.925,0.0201,1.125,62.23,64.5
8,1,singlev_layers0-10_lr1e-1,2790,37.0303,1158.927,109.821,-0.0004,0.0298,0.0014,0.0,0.007,0.0008,0.544,0.003,0.539,0.0178,0.998,61.88,64.5
9,1,singlev_layers0-10_lr1e-1,2790,40.3585,1181.964,110.622,-0.0299,0.032,0.0298,0.0009,3.181,0.0024,1.72,0.0047,0.843,0.017,0.95,60.87,64.5
10,1,singlev_layers10-20_lr3e-1,2790,89.0942,1187.246,110.631,-0.0558,0.0702,0.0581,0.0034,12.109,0.0036,2.588,0.0077,1.382,0.0276,1.546,64.7,64.5
11,1,singlev_layers10-20_lr3e-1,2790,82.8044,1216.234,112.549,-0.0515,0.0633,0.0536,0.0029,10.304,0.0035,2.511,0.0097,1.739,0.0253,1.416,60.41,64.5
12,1,singlev_layers10-20_lr3e-1,2790,78.2302,1231.819,113.363,-0.0371,0.0587,0.0407,0.0017,5.933,0.0047,3.384,0.0164,2.93,0.0352,1.972,51.63,64.5
13,1,singlev_layers10-20_lr3e-1,2790,79.3397,1246.466,113.546,-0.033,0.0587,0.0354,0.0013,4.49,0.0044,3.121,0.0134,2.4,0.0244,1.369,51.22,64.5
14,1,singlev_layers10-20_lr3e-1,2790,80.1868,1247.838,113.555,-0.0288,0.0589,0.0311,0.001,3.46,0.0045,3.228,0.0097,1.741,0.0213,1.193,56.7,64.5
15,1,singlev_layers10-20_lr3e-1,2790,79.4219,1261.255,113.579,-0.0185,0.0575,0.0217,0.0005,1.683,0.0034,2.408,0.0072,1.298,0.0195,1.091,61.85,64.5
16,1,singlev_layers10-20_lr3e-1,2790,80.6831,1259.996,113.584,-0.0126,0.0581,0.0164,0.0003,0.96,0.0022,1.563,0.006,1.075,0.0158,0.883,67.0,64.5
17,1,singlev_layers10-20_lr3e-1,2790,83.0627,1266.978,113.582,-0.0056,0.0592,0.0104,0.0001,0.391,0.0021,1.5,0.0094,1.677,0.0204,1.142,68.74,64.5
18,1,singlev_layers10-20_lr3e-1,2790,83.9749,1292.247,113.591,-0.0096,0.0587,0.0151,0.0002,0.816,0.0034,2.423,0.0136,2.446,0.0243,1.361,57.88,64.5
19,1,singlev_layers10-20_lr3e-1,2790,86.3168,1299.431,113.603,-0.0121,0.0594,0.0187,0.0003,1.25,0.0014,1.014,0.0088,1.582,0.0247,1.381,64.23,64.5
20,1,singlev_layers20-21_lr1e-1,2790,169.9601,1338.927,113.575,-0.0765,0.1132,0.0773,0.006,21.392,0.0086,6.141,0.013,2.321,0.0291,1.629,46.22,64.5
21,1,singlev_layers20-21_lr1e-1,2790,184.1914,1352.853,113.606,-0.0147,0.1188,0.0138,0.0002,0.685,0.002,1.448,0.0051,0.908,0.0182,1.017,55.53,64.5
22,1,singlev_layers20-27_lr1e-1,2790,128.7565,1395.775,113.664,-0.0012,0.0793,0.0005,0.0,0.001,0.0002,0.14,0.0023,0.412,0.0116,0.647,70.75,64.5
23,1,singlev_layers20-27_lr1e-1,2790,123.3183,1495.358,113.627,0.01,0.0707,0.0093,0.0001,0.309,0.0008,0.602,0.0045,0.811,0.0127,0.709,69.4,64.5
24,1,singlev_layers20-27_lr1e-1,2790,117.0909,1570.642,112.757,0.0059,0.0635,0.0042,0.0,0.062,0.0004,0.284,0.0032,0.577,0.0169,0.949,67.87,64.5
25,1,singlev_layers20-27_lr1e-1,2790,135.6857,1631.361,108.393,-0.0112,0.0701,0.0073,0.0001,0.193,0.0008,0.558,0.0042,0.759,0.0148,0.827,68.02,64.5
26,1,singlev_layers20-27_lr1e-1,2790,144.5932,1535.371,75.542,-0.0021,0.0794,0.0071,0.0001,0.182,0.0031,2.249,0.0092,1.655,0.0208,1.162,58.18,64.5
27,1,singlev_layers20-27_lr1e-1,2790,149.5979,1085.024,62.47,-0.0067,0.0838,0.0061,0.0,0.133,0.0023,1.639,0.005,0.896,0.0224,1.254,70.61,64.5
