layer,vec_norm,pc1_cos,subspace_overlap,subspace_overlap_min,lambda_ratio_topk,hidden_shift_rel,drift_in_topk,drift_rand_baseline
0,2.223,0.9999,0.9944,0.9492,0.9298,0.2741,0.0167,0.0078
1,2.246,1.0,0.99,0.8681,0.9951,0.2099,0.0231,0.0078
2,0.683,1.0,0.9992,0.9902,1.0011,0.0537,0.0146,0.0078
3,2.535,1.0,0.9958,0.975,0.9976,0.1556,0.062,0.0078
4,2.711,0.9999,0.9973,0.9909,1.0087,0.1221,0.0311,0.0078
5,0.832,1.0,0.9996,0.9966,1.0,0.0043,0.0384,0.0078
6,0.848,1.0,0.9998,0.9989,1.0,0.0041,0.0233,0.0078
7,2.933,1.0,0.9977,0.9926,1.0,0.0149,0.0162,0.0078
8,2.893,1.0,0.9984,0.9948,1.0,0.0141,0.0244,0.0078
9,0.931,1.0,0.999,0.9827,1.0,0.0039,0.0247,0.0078
10,1.304,1.0,0.9996,0.9986,1.0,0.006,0.0277,0.0078
11,1.311,1.0,0.9997,0.9985,1.0,0.0063,0.0289,0.0078
12,1.048,1.0,0.9998,0.999,1.0,0.0049,0.0684,0.0078
13,0.948,1.0,0.9999,0.9993,1.0,0.0041,0.0482,0.0078
14,0.853,1.0,0.9999,0.9997,1.0,0.0039,0.0099,0.0078
15,2.1,1.0,0.9995,0.9978,1.0,0.0096,0.0194,0.0078
16,2.129,1.0,0.9991,0.9927,1.0,0.0107,0.0288,0.0078
17,0.758,1.0,0.9999,0.9998,1.0,0.0036,0.0255,0.0078
18,0.787,1.0,0.9999,0.9997,1.0,0.0044,0.0432,0.0078
19,0.77,1.0,1.0,0.9999,1.0,0.0035,0.0083,0.0078
20,1.494,1.0,0.9999,0.9997,1.0,0.007,0.0304,0.0078
21,1.488,1.0,0.9998,0.9995,1.0,0.0076,0.0352,0.0078
22,0.889,1.0,1.0,0.9999,1.0,0.0042,0.0215,0.0078
23,0.986,1.0,1.0,0.9999,1.0,0.0047,0.0166,0.0078
24,17.923,1.0,0.9943,0.9862,1.0,0.0782,0.0328,0.0078
25,15.912,1.0,0.9972,0.9934,1.0001,0.0667,0.0182,0.0078
26,3.592,1.0,0.999,0.9826,1.0,0.0154,0.0276,0.0078
27,3.48,1.0,0.9999,0.9995,1.0,0.0141,0.0349,0.0078
28,3.426,1.0,0.9999,0.9998,1.0,0.0125,0.0321,0.0078
29,3.417,1.0,0.9999,0.9997,1.0,0.0137,0.0468,0.0078
30,3.312,1.0,1.0,0.9999,1.0,0.0104,0.0229,0.0078
31,3.264,1.0,0.9999,0.9998,1.0,0.011,0.0151,0.0078
32,325.62,0.9999,0.8705,0.4221,1.0114,0.8905,0.0911,0.0078
33,335.051,1.0,0.9077,0.6562,1.0127,0.6842,0.2085,0.0078
34,3.406,1.0,0.9999,0.9992,1.0022,0.027,0.8113,0.0078
