model,exp,layer,mode,vec_norm,n_steps,entropy,norm_entropy,top1_prob,top10_mass,part_ratio,logit_gap
deepseek7b,singlev_layers0-10_lr1e-1,0,normed,15.461725234985352,364,10.94996,0.91769,0.00082,0.00559,56951.86328,1.07566
deepseek7b,singlev_layers0-10_lr1e-1,0,raw,15.461725234985352,364,11.85897,0.99387,3e-05,0.00025,141346.64062,1.01902
deepseek7b,singlev_layers0-10_lr1e-1,1,normed,15.556950569152832,364,11.14901,0.93437,0.0011,0.0048,69494.71094,1.70953
deepseek7b,singlev_layers0-10_lr1e-1,1,raw,15.556950569152832,364,11.88007,0.99564,3e-05,0.00023,144360.34375,1.14952
deepseek7b,singlev_layers0-10_lr1e-1,2,normed,19.67302131652832,364,11.40248,0.95562,0.0005,0.00364,89543.1875,1.01506
deepseek7b,singlev_layers0-10_lr1e-1,2,raw,19.67302131652832,364,11.8817,0.99578,3e-05,0.00027,144596.78125,1.00493
deepseek7b,singlev_layers0-10_lr1e-1,3,normed,22.1965389251709,364,11.39092,0.95465,0.00043,0.00334,88514.15625,1.05559
deepseek7b,singlev_layers0-10_lr1e-1,3,raw,22.1965389251709,364,11.86527,0.9944,3e-05,0.00032,142239.9375,1.02026
deepseek7b,singlev_layers0-10_lr1e-1,4,normed,24.96797752380371,364,11.42502,0.95751,0.00042,0.00269,91585.11719,1.25345
deepseek7b,singlev_layers0-10_lr1e-1,4,raw,24.96797752380371,364,11.8503,0.99315,4e-05,0.00035,140125.6875,1.09879
deepseek7b,singlev_layers0-10_lr1e-1,5,normed,28.26694107055664,364,11.27515,0.94495,0.00055,0.00365,78837.84375,1.18308
deepseek7b,singlev_layers0-10_lr1e-1,5,raw,28.26694107055664,364,11.79603,0.9886,6e-05,0.00051,132724.26562,1.08262
deepseek7b,singlev_layers0-10_lr1e-1,6,normed,34.583072662353516,364,11.33535,0.94999,0.00084,0.00431,83730.02344,1.6388
deepseek7b,singlev_layers0-10_lr1e-1,6,raw,34.583072662353516,364,11.74914,0.98467,0.00012,0.00084,126644.57031,1.33023
deepseek7b,singlev_layers0-10_lr1e-1,7,normed,36.48710250854492,364,11.40478,0.95581,0.00051,0.00332,89749.3125,1.10028
deepseek7b,singlev_layers0-10_lr1e-1,7,raw,36.48710250854492,364,11.75035,0.98477,0.0001,0.0008,126797.8125,1.05998
deepseek7b,singlev_layers0-10_lr1e-1,8,normed,37.030303955078125,364,11.45748,0.96023,0.00073,0.00375,94605.95312,1.62199
deepseek7b,singlev_layers0-10_lr1e-1,8,raw,37.030303955078125,364,11.76072,0.98564,0.00013,0.00088,128119.57812,1.34873
deepseek7b,singlev_layers0-10_lr1e-1,9,normed,40.35850524902344,364,11.37234,0.95309,0.00082,0.00421,86885.20312,1.20644
deepseek7b,singlev_layers0-10_lr1e-1,9,raw,40.35850524902344,364,11.69342,0.98,0.00019,0.0012,119780.66406,1.13487
deepseek7b,singlev_layers0-10_lr1e-1,10,normed,54.15532684326172,364,11.49236,0.96315,0.00042,0.00285,97964.375,1.13678
deepseek7b,singlev_layers0-10_lr1e-1,10,raw,54.15532684326172,364,11.57679,0.97023,0.00029,0.00206,106594.375,1.12296
deepseek7b,singlev_layers0-1_lr1e-1,0,normed,25.925439834594727,123,10.78052,0.90349,0.01042,0.01896,48075.27734,4.40332
deepseek7b,singlev_layers0-1_lr1e-1,0,raw,25.925439834594727,123,11.70999,0.98139,0.00021,0.00087,121782.09375,1.90017
deepseek7b,singlev_layers0-1_lr1e-1,1,normed,46.25416564941406,123,11.29706,0.94678,0.00047,0.00342,80584.44531,1.33219
deepseek7b,singlev_layers0-1_lr1e-1,1,raw,46.25416564941406,123,11.56398,0.96915,0.0002,0.00155,105238.03906,1.24808
deepseek7b,singlev_layers10-11_lr1e-1,10,normed,52.316158294677734,145,11.30389,0.94735,0.00054,0.00387,81136.58594,1.16318
deepseek7b,singlev_layers10-11_lr1e-1,10,raw,52.316158294677734,145,11.45918,0.96037,0.00033,0.00247,94767.58594,1.14122
