model,exp,layer,mode,vec_norm,n_steps,entropy,norm_entropy,top1_prob,top10_mass,part_ratio,logit_gap
qwen3-4b,singlev_layers0-11_lr1e-3,0,normed,0.6717146039009094,110,11.32428,0.94913,0.00074,0.00427,82808.14062,1.57442
qwen3-4b,singlev_layers0-11_lr1e-3,0,raw,0.6717146039009094,110,11.9311,0.99999,1e-05,7e-05,151918.28125,1.00606
qwen3-4b,singlev_layers0-11_lr1e-3,1,normed,0.6529567241668701,110,11.35947,0.95208,0.00038,0.003,85774.00781,1.19424
qwen3-4b,singlev_layers0-11_lr1e-3,1,raw,0.6529567241668701,110,11.93115,0.99999,1e-05,7e-05,151925.8125,1.0023
qwen3-4b,singlev_layers0-11_lr1e-3,2,normed,0.6825278997421265,110,11.34086,0.95052,0.00085,0.00369,84192.67969,1.97531
qwen3-4b,singlev_layers0-11_lr1e-3,2,raw,0.6825278997421265,110,11.93111,0.99999,1e-05,7e-05,151920.73438,1.00925
qwen3-4b,singlev_layers0-11_lr1e-3,3,normed,0.7204163074493408,110,11.36216,0.95231,0.00069,0.00423,86005.0,1.02893
qwen3-4b,singlev_layers0-11_lr1e-3,3,raw,0.7204163074493408,110,11.9311,0.99999,1e-05,7e-05,151919.14062,1.00041
qwen3-4b,singlev_layers0-11_lr1e-3,4,normed,0.7869157791137695,110,11.34238,0.95065,0.00061,0.00364,84320.19531,1.6758
qwen3-4b,singlev_layers0-11_lr1e-3,4,raw,0.7869157791137695,110,11.93111,0.99999,1e-05,7e-05,151919.875,1.00808
qwen3-4b,singlev_layers0-11_lr1e-3,5,normed,0.8317063450813293,110,11.33484,0.95002,0.00046,0.00316,83687.15625,1.06989
qwen3-4b,singlev_layers0-11_lr1e-3,5,raw,0.8317063450813293,110,11.93105,0.99999,1e-05,7e-05,151911.46875,1.00111
qwen3-4b,singlev_layers0-11_lr1e-3,6,normed,0.8481813073158264,110,11.3437,0.95076,0.00134,0.00437,84431.72656,2.7991
qwen3-4b,singlev_layers0-11_lr1e-3,6,raw,0.8481813073158264,110,11.93105,0.99999,1e-05,7e-05,151911.46875,1.01744
qwen3-4b,singlev_layers0-11_lr1e-3,7,normed,0.8639480471611023,110,11.36338,0.95241,0.00048,0.00303,86110.04688,1.31644
qwen3-4b,singlev_layers0-11_lr1e-3,7,raw,0.8639480471611023,110,11.93106,0.99999,1e-05,7e-05,151912.04688,1.00471
qwen3-4b,singlev_layers0-11_lr1e-3,8,normed,0.8533719778060913,110,11.3492,0.95122,0.0005,0.00322,84897.28125,1.22704
qwen3-4b,singlev_layers0-11_lr1e-3,8,raw,0.8533719778060913,110,11.93105,0.99999,1e-05,7e-05,151910.59375,1.00346
qwen3-4b,singlev_layers0-11_lr1e-3,9,normed,0.9309911131858826,110,11.33175,0.94976,0.0005,0.00415,83429.125,1.00783
qwen3-4b,singlev_layers0-11_lr1e-3,9,raw,0.9309911131858826,110,11.93106,0.99999,1e-05,7e-05,151911.90625,1.00014
qwen3-4b,singlev_layers0-11_lr1e-3,10,normed,1.0347046852111816,110,11.33656,0.95016,0.00043,0.0034,83830.77344,1.02009
qwen3-4b,singlev_layers0-11_lr1e-3,10,raw,1.0347046852111816,110,11.931,0.99998,1e-05,7e-05,151902.76562,1.00041
qwen3-4b,singlev_layers0-11_lr1e-3,11,normed,1.1645294427871704,110,11.32714,0.94937,0.00104,0.00398,83045.55469,1.56947
qwen3-4b,singlev_layers0-11_lr1e-3,11,raw,1.1645294427871704,110,11.93089,0.99997,1e-05,7e-05,151886.10938,1.01044
qwen3-4b,singlev_layers0-1_lr1e-3,0,normed,2.223424196243286,90,11.3248,0.94917,0.00069,0.00353,82851.19531,1.9754
qwen3-4b,singlev_layers0-1_lr1e-3,0,raw,2.223424196243286,90,11.93014,0.99991,1e-05,8e-05,151773.03125,1.03038
qwen3-4b,singlev_layers0-1_lr1e-3,1,normed,2.2459192276000977,90,11.34998,0.95128,0.00078,0.00361,84963.94531,1.90401
qwen3-4b,singlev_layers0-1_lr1e-3,1,raw,2.2459192276000977,90,11.93011,0.99991,1e-05,8e-05,151767.8125,1.029
qwen3-4b,singlev_layers10-11_lr1e-3,10,normed,1.303606629371643,28,11.34417,0.9508,0.00067,0.00393,84471.50781,1.14888
qwen3-4b,singlev_layers10-11_lr1e-3,10,raw,1.303606629371643,28,11.93084,0.99997,1e-05,7e-05,151879.3125,1.00358
qwen3-4b,singlev_layers10-11_lr1e-3,11,normed,1.3111412525177002,28,11.33793,0.95027,0.00043,0.00357,83945.74219,1.13293
qwen3-4b,singlev_layers10-11_lr1e-3,11,raw,1.3111412525177002,28,11.93081,0.99997,1e-05,7e-05,151874.53125,1.00324
qwen3-4b,singlev_layers10-25_lr5e-5,10,normed,0.49175742268562317,400,11.32621,0.94929,0.00062,0.00428,82968.21875,1.24248
qwen3-4b,singlev_layers10-25_lr5e-5,10,raw,0.49175742268562317,400,11.93115,0.99999,1e-05,7e-05,151926.25,1.00212
qwen3-4b,singlev_layers10-25_lr5e-5,11,normed,0.49926313757896423,400,11.32879,0.94951,0.0004,0.00345,83182.36719,1.00838
qwen3-4b,singlev_layers10-25_lr5e-5,11,raw,0.49926313757896423,400,11.93119,1.0,1e-05,7e-05,151932.03125,1.00008
qwen3-4b,singlev_layers10-25_lr5e-5,12,normed,0.4948778450489044,400,11.34379,0.95077,0.0004,0.00286,84439.21094,1.31767
qwen3-4b,singlev_layers10-25_lr5e-5,12,raw,0.4948778450489044,400,11.93114,0.99999,1e-05,7e-05,151925.07812,1.00272
qwen3-4b,singlev_layers10-25_lr5e-5,13,normed,0.4877406060695648,400,11.31917,0.9487,0.00092,0.00526,82385.9375,1.09124
qwen3-4b,singlev_layers10-25_lr5e-5,13,raw,0.4877406060695648,400,11.93119,1.0,1e-05,7e-05,151932.32812,1.00085
qwen3-4b,singlev_layers10-25_lr5e-5,14,normed,0.4797857999801636,400,11.34818,0.95113,0.00041,0.00299,84811.17969,1.03108
qwen3-4b,singlev_layers10-25_lr5e-5,14,raw,0.4797857999801636,400,11.93118,1.0,1e-05,7e-05,151930.73438,1.00029
qwen3-4b,singlev_layers10-25_lr5e-5,15,normed,0.4774705469608307,400,11.32158,0.9489,0.00061,0.00391,82584.5625,1.18658
qwen3-4b,singlev_layers10-25_lr5e-5,15,raw,0.4774705469608307,400,11.9312,1.0,1e-05,7e-05,151934.35938,1.00162
qwen3-4b,singlev_layers10-25_lr5e-5,16,normed,0.4588906466960907,400,11.33414,0.94996,0.00046,0.00371,83628.67188,1.07969
