run,vec_idx,step,layer,vec_norm,pc_centroid_rank,pc_centroid_rand,cos_pc1,E_top1,E_top1_over_rand,E_top5,E_top5_over_rand,E_top20,E_top20_over_rand
biology,0,100,5,9.702,58.56,64.5,0.0491,0.0024,3.71,0.0052,1.6,0.0213,1.63
biology,0,100,6,7.944,69.29,64.5,0.0138,0.0002,0.29,0.0028,0.86,0.0167,1.28
biology,0,100,7,7.694,64.43,64.5,0.0209,0.0004,0.67,0.0039,1.19,0.0101,0.77
biology,0,100,8,7.33,66.36,64.5,0.0036,0.0,0.02,0.0026,0.8,0.0097,0.74
biology,0,100,9,6.741,62.62,64.5,0.0048,0.0,0.04,0.0022,0.69,0.0107,0.82
biology,0,100,10,6.637,68.86,64.5,0.0068,0.0,0.07,0.0015,0.46,0.011,0.84
biology,0,100,11,6.79,62.84,64.5,0.0251,0.0006,0.97,0.0092,2.81,0.0148,1.14
biology,0,100,12,6.143,61.27,64.5,0.0288,0.0008,1.28,0.0079,2.44,0.0213,1.64
biology,0,100,13,6.157,62.8,64.5,0.0525,0.0028,4.24,0.0044,1.35,0.011,0.84
biology,0,100,14,6.482,62.0,64.5,0.0056,0.0,0.05,0.0027,0.84,0.0131,1.01
biology,0,100,15,8.949,70.37,64.5,0.0108,0.0001,0.18,0.0012,0.38,0.01,0.77
biology,1,242,5,9.768,53.26,64.5,0.0511,0.0026,4.02,0.0094,2.88,0.0306,2.35
biology,1,242,6,8.494,57.47,64.5,0.0109,0.0001,0.18,0.003,0.93,0.0197,1.51
biology,1,242,7,8.349,63.06,64.5,0.0069,0.0,0.07,0.0051,1.57,0.0182,1.4
biology,1,242,8,7.962,64.23,64.5,0.0346,0.0012,1.84,0.0035,1.07,0.0177,1.36
biology,1,242,9,7.285,61.87,64.5,0.031,0.001,1.48,0.0039,1.2,0.0219,1.69
biology,1,242,10,7.192,72.01,64.5,0.0397,0.0016,2.42,0.0023,0.7,0.0224,1.72
biology,1,242,11,7.333,71.43,64.5,0.0068,0.0,0.07,0.0027,0.84,0.0071,0.54
biology,1,242,12,6.55,60.48,64.5,0.0523,0.0027,4.21,0.0148,4.53,0.0317,2.43
biology,1,242,13,6.571,67.82,64.5,0.0004,0.0,0.0,0.0015,0.45,0.0148,1.14
biology,1,242,14,6.969,64.73,64.5,0.0669,0.0045,6.88,0.0103,3.17,0.0228,1.75
biology,1,242,15,9.335,75.54,64.5,0.0519,0.0027,4.13,0.0039,1.21,0.0137,1.05
biology,2,384,5,9.815,61.74,64.5,0.0707,0.005,7.68,0.0069,2.13,0.0244,1.87
biology,2,384,6,8.713,73.88,64.5,0.0181,0.0003,0.5,0.002,0.61,0.0066,0.51
biology,2,384,7,8.239,62.1,64.5,0.0455,0.0021,3.18,0.0056,1.73,0.0149,1.15
biology,2,384,8,7.976,62.66,64.5,0.008,0.0001,0.1,0.0108,3.33,0.0226,1.74
biology,2,384,9,7.151,58.6,64.5,0.0661,0.0044,6.71,0.0054,1.65,0.0227,1.75
biology,2,384,10,7.207,70.75,64.5,0.0404,0.0016,2.51,0.004,1.24,0.017,1.31
biology,2,384,11,7.283,70.43,64.5,0.022,0.0005,0.75,0.0023,0.7,0.0126,0.97
biology,2,384,12,6.673,59.33,64.5,0.0455,0.0021,3.17,0.0043,1.33,0.0263,2.02
biology,2,384,13,6.793,66.85,64.5,0.0388,0.0015,2.31,0.0032,0.98,0.0168,1.29
biology,2,384,14,6.956,64.76,64.5,0.0329,0.0011,1.66,0.0018,0.56,0.0245,1.88
biology,2,384,15,9.068,66.97,64.5,0.0227,0.0005,0.79,0.0051,1.57,0.0239,1.83
biology,3,523,5,10.538,74.86,64.5,0.0135,0.0002,0.28,0.0028,0.85,0.0095,0.73
biology,3,523,6,8.78,69.28,64.5,0.0031,0.0,0.02,0.002,0.61,0.0132,1.01
biology,3,523,7,8.236,52.3,64.5,0.0421,0.0018,2.72,0.0047,1.43,0.0143,1.1
biology,3,523,8,8.07,58.35,64.5,0.0371,0.0014,2.12,0.0033,1.0,0.0221,1.69
biology,3,523,9,7.404,60.29,64.5,0.065,0.0042,6.49,0.0048,1.48,0.0244,1.87
biology,3,523,10,7.18,60.94,64.5,0.0668,0.0045,6.86,0.006,1.83,0.0204,1.57
biology,3,523,11,7.305,66.7,64.5,0.0221,0.0005,0.75,0.0056,1.72,0.0175,1.35
biology,3,523,12,6.763,65.71,64.5,0.0172,0.0003,0.46,0.0026,0.79,0.0122,0.94
biology,3,523,13,6.688,67.17,64.5,0.0212,0.0004,0.69,0.0025,0.77,0.02,1.54
biology,3,523,14,7.142,66.0,64.5,0.0717,0.0051,7.9,0.0081,2.48,0.0228,1.75
biology,3,523,15,9.062,68.23,64.5,0.0021,0.0,0.01,0.0031,0.94,0.0171,1.31
biology,4,655,5,10.717,61.66,64.5,0.0517,0.0027,4.11,0.005,1.53,0.0107,0.82
biology,4,655,6,8.577,70.06,64.5,0.0148,0.0002,0.34,0.0034,1.04,0.0111,0.85
biology,4,655,7,8.501,72.3,64.5,0.0214,0.0005,0.7,0.0023,0.72,0.0075,0.58
biology,4,655,8,7.917,59.8,64.5,0.0047,0.0,0.03,0.0009,0.28,0.0129,0.99
biology,4,655,9,7.377,61.48,64.5,0.0166,0.0003,0.42,0.0051,1.58,0.0123,0.95
biology,4,655,10,7.341,53.38,64.5,0.0509,0.0026,3.98,0.0033,1.0,0.0278,2.14
biology,4,655,11,7.448,64.37,64.5,0.0069,0.0,0.07,0.0002,0.05,0.0178,1.36
biology,4,655,12,6.863,69.63,64.5,0.0409,0.0017,2.57,0.0049,1.52,0.0142,1.09
biology,4,655,13,6.694,65.74,64.5,0.0299,0.0009,1.38,0.0052,1.59,0.0177,1.36
biology,4,655,14,7.257,61.7,64.5,0.0431,0.0019,2.85,0.0075,2.31,0.0172,1.32
biology,4,655,15,9.134,65.71,64.5,0.0086,0.0001,0.11,0.0008,0.26,0.0084,0.65
biology,5,824,5,10.789,64.47,64.5,0.039,0.0015,2.34,0.0034,1.04,0.0112,0.86
biology,5,824,6,8.655,66.86,64.5,0.0121,0.0001,0.23,0.0028,0.87,0.0123,0.94
biology,5,824,7,8.614,68.23,64.5,0.0071,0.0001,0.08,0.0014,0.43,0.0073,0.56
biology,5,824,8,8.049,65.01,64.5,0.0004,0.0,0.0,0.0025,0.77,0.0123,0.95
biology,5,824,9,7.523,71.03,64.5,0.0089,0.0001,0.12,0.0051,1.58,0.0108,0.83
biology,5,824,10,7.598,61.71,64.5,0.0138,0.0002,0.29,0.0016,0.49,0.0071,0.54
biology,5,824,11,7.607,65.13,64.5,0.0013,0.0,0.0,0.003,0.92,0.0161,1.24
biology,5,824,12,6.985,62.47,64.5,0.0001,0.0,0.0,0.0012,0.36,0.0168,1.29
biology,5,824,13,7.263,64.77,64.5,0.0303,0.0009,1.41,0.0041,1.26,0.0161,1.23
biology,5,824,14,7.476,71.76,64.5,0.0175,0.0003,0.47,0.0024,0.74,0.0159,1.22
biology,5,824,15,8.978,56.37,64.5,0.0287,0.0008,1.27,0.0112,3.44,0.0251,1.92
