run,vec_idx,step,layer,vec_norm,pc_centroid_rank,pc_centroid_rand,cos_pc1,E_top1,E_top1_over_rand,E_top5,E_top5_over_rand,E_top20,E_top20_over_rand
chemistry,0,100,5,9.283,62.69,64.5,0.0444,0.002,3.03,0.0037,1.13,0.0104,0.8
chemistry,0,100,6,7.854,59.58,64.5,0.0696,0.0048,7.44,0.0126,3.88,0.0229,1.76
chemistry,0,100,7,7.594,66.55,64.5,0.0209,0.0004,0.67,0.0038,1.15,0.0148,1.13
chemistry,0,100,8,7.355,66.96,64.5,0.0206,0.0004,0.65,0.0024,0.73,0.0099,0.76
chemistry,0,100,9,6.663,73.86,64.5,0.0017,0.0,0.0,0.0001,0.04,0.0092,0.71
chemistry,0,100,10,6.696,68.75,64.5,0.0051,0.0,0.04,0.0012,0.38,0.0073,0.56
chemistry,0,100,11,7.127,65.82,64.5,0.0079,0.0001,0.1,0.0013,0.41,0.0069,0.53
chemistry,0,100,12,6.544,57.81,64.5,0.0047,0.0,0.03,0.0045,1.39,0.015,1.15
chemistry,0,100,13,7.024,67.22,64.5,0.0251,0.0006,0.97,0.002,0.61,0.0099,0.76
chemistry,0,100,14,7.471,61.35,64.5,0.0286,0.0008,1.26,0.0038,1.18,0.0125,0.96
chemistry,0,100,15,10.541,65.2,64.5,0.0467,0.0022,3.34,0.0045,1.39,0.0116,0.89
chemistry,1,269,5,9.307,56.68,64.5,0.0559,0.0031,4.81,0.0062,1.92,0.0238,1.83
chemistry,1,269,6,8.421,66.16,64.5,0.0253,0.0006,0.98,0.0014,0.44,0.009,0.69
chemistry,1,269,7,8.145,56.03,64.5,0.0315,0.001,1.52,0.0104,3.2,0.021,1.61
chemistry,1,269,8,7.831,62.18,64.5,0.076,0.0058,8.86,0.0097,2.98,0.0244,1.88
chemistry,1,269,9,7.315,67.9,64.5,0.0033,0.0,0.02,0.0009,0.27,0.0145,1.11
chemistry,1,269,10,7.25,62.55,64.5,0.0055,0.0,0.05,0.0009,0.28,0.0191,1.46
chemistry,1,269,11,7.71,63.24,64.5,0.0491,0.0024,3.71,0.0066,2.02,0.0277,2.12
chemistry,1,269,12,7.106,68.8,64.5,0.0205,0.0004,0.65,0.0089,2.75,0.0163,1.25
chemistry,1,269,13,7.483,65.81,64.5,0.0211,0.0004,0.68,0.0014,0.44,0.0224,1.72
chemistry,1,269,14,7.99,64.9,64.5,0.0307,0.0009,1.45,0.0031,0.94,0.016,1.23
