run,vec_idx,step,layer,vec_norm,pc_centroid_rank,pc_centroid_rand,cos_pc1,E_top1,E_top1_over_rand,E_top5,E_top5_over_rand,E_top20,E_top20_over_rand
material,0,100,5,11.299,59.75,64.5,0.0428,0.0018,2.82,0.0034,1.04,0.0201,1.54
material,0,100,6,9.056,65.37,64.5,0.0199,0.0004,0.61,0.0009,0.27,0.0098,0.75
material,0,100,7,9.206,63.4,64.5,0.0185,0.0003,0.53,0.0051,1.57,0.0096,0.74
material,0,100,8,8.465,68.82,64.5,0.036,0.0013,1.99,0.0023,0.7,0.006,0.46
material,0,100,9,7.686,60.53,64.5,0.0366,0.0013,2.06,0.0015,0.45,0.0103,0.79
material,0,100,10,7.501,63.19,64.5,0.0175,0.0003,0.47,0.0009,0.26,0.0107,0.83
material,0,100,11,7.662,57.89,64.5,0.0135,0.0002,0.28,0.0029,0.88,0.0075,0.57
material,0,100,12,7.208,67.25,64.5,0.0409,0.0017,2.57,0.0028,0.86,0.0086,0.66
material,0,100,13,7.01,71.33,64.5,0.0344,0.0012,1.82,0.003,0.92,0.0081,0.62
material,0,100,14,7.302,59.21,64.5,0.0229,0.0005,0.81,0.0034,1.03,0.0219,1.69
material,0,100,15,10.053,55.43,64.5,0.0119,0.0001,0.22,0.0061,1.86,0.0172,1.32
material,1,238,5,11.373,62.79,64.5,0.0532,0.0028,4.34,0.0059,1.82,0.0159,1.22
material,1,238,6,9.608,62.03,64.5,0.043,0.0018,2.83,0.007,2.16,0.0193,1.48
material,1,238,7,9.786,62.26,64.5,0.0478,0.0023,3.52,0.0053,1.63,0.0195,1.5
material,1,238,8,8.925,64.93,64.5,0.0068,0.0,0.07,0.0052,1.61,0.0138,1.06
material,1,238,9,8.286,64.79,64.5,0.0347,0.0012,1.85,0.0029,0.88,0.0136,1.04
material,1,238,10,8.012,60.11,64.5,0.0131,0.0002,0.26,0.0022,0.66,0.0199,1.53
material,1,238,11,8.571,66.08,64.5,0.0324,0.0011,1.62,0.0026,0.81,0.0138,1.06
material,1,238,12,8.15,69.6,64.5,0.033,0.0011,1.68,0.0039,1.19,0.0131,1.01
material,1,238,13,7.623,67.0,64.5,0.0245,0.0006,0.92,0.0022,0.66,0.0135,1.04
material,1,238,14,8.039,75.34,64.5,0.0013,0.0,0.0,0.003,0.91,0.0114,0.87
material,1,238,15,10.631,60.04,64.5,0.0,0.0,0.0,0.011,3.38,0.0231,1.77
material,2,377,5,11.366,61.89,64.5,0.0223,0.0005,0.77,0.003,0.91,0.0207,1.59
material,2,377,6,9.553,68.56,64.5,0.0458,0.0021,3.22,0.0027,0.82,0.0136,1.04
material,2,377,7,9.711,63.74,64.5,0.0039,0.0,0.02,0.0011,0.33,0.0132,1.01
material,2,377,8,9.03,65.73,64.5,0.0111,0.0001,0.19,0.0012,0.36,0.0131,1.01
material,2,377,9,8.621,56.94,64.5,0.0497,0.0025,3.79,0.0054,1.65,0.0153,1.18
material,2,377,10,9.052,52.31,64.5,0.0327,0.0011,1.64,0.0045,1.4,0.02,1.53
material,2,377,11,8.512,54.61,64.5,0.0631,0.004,6.11,0.0056,1.73,0.0151,1.16
material,2,377,12,7.993,68.01,64.5,0.0175,0.0003,0.47,0.0013,0.41,0.0178,1.37
material,2,377,13,9.031,63.99,64.5,0.0295,0.0009,1.33,0.0017,0.53,0.0179,1.38
material,2,377,14,8.022,63.03,64.5,0.0314,0.001,1.52,0.0057,1.75,0.0187,1.43
material,2,377,15,10.373,65.41,64.5,0.0076,0.0001,0.09,0.0018,0.54,0.0152,1.17
material,3,507,5,11.483,60.95,64.5,0.0282,0.0008,1.22,0.005,1.55,0.0114,0.88
material,3,507,6,9.761,64.72,64.5,0.0465,0.0022,3.32,0.0024,0.73,0.0151,1.16
material,3,507,7,9.498,63.77,64.5,0.0376,0.0014,2.17,0.0021,0.65,0.0114,0.88
material,3,507,8,9.397,60.35,64.5,0.0388,0.0015,2.31,0.0038,1.18,0.0089,0.68
material,3,507,9,8.245,75.28,64.5,0.0148,0.0002,0.34,0.0018,0.55,0.015,1.15
material,3,507,10,8.41,69.78,64.5,0.0195,0.0004,0.58,0.0042,1.29,0.0104,0.8
material,3,507,11,8.451,67.47,64.5,0.0334,0.0011,1.71,0.0057,1.75,0.0079,0.61
material,3,507,12,7.817,68.03,64.5,0.008,0.0001,0.1,0.0019,0.59,0.012,0.92
material,3,507,13,7.83,73.31,64.5,0.0038,0.0,0.02,0.0011,0.34,0.0073,0.56
material,3,507,14,7.76,65.24,64.5,0.0226,0.0005,0.79,0.0056,1.71,0.0225,1.73
material,3,507,15,10.092,66.13,64.5,0.0161,0.0003,0.4,0.0011,0.34,0.0199,1.53
material,4,654,5,12.196,68.38,64.5,0.0168,0.0003,0.43,0.0034,1.05,0.0105,0.8
material,4,654,6,9.722,65.81,64.5,0.0205,0.0004,0.64,0.0031,0.95,0.0115,0.88
material,4,654,7,10.335,57.53,64.5,0.0005,0.0,0.0,0.0003,0.11,0.0123,0.94
material,4,654,8,9.38,62.23,64.5,0.0123,0.0002,0.23,0.004,1.23,0.0134,1.03
material,4,654,9,8.362,63.7,64.5,0.0067,0.0,0.07,0.0004,0.11,0.0132,1.01
material,4,654,10,8.585,63.31,64.5,0.0192,0.0004,0.57,0.0027,0.84,0.0181,1.39
material,4,654,11,8.194,63.75,64.5,0.007,0.0,0.08,0.002,0.61,0.0105,0.8
material,4,654,12,8.137,55.56,64.5,0.0363,0.0013,2.02,0.0017,0.51,0.0183,1.41
material,4,654,13,7.965,67.2,64.5,0.0194,0.0004,0.58,0.0012,0.37,0.0185,1.42
material,4,654,14,7.864,63.69,64.5,0.0112,0.0001,0.19,0.0047,1.44,0.011,0.85
material,4,654,15,10.087,62.61,64.5,0.0246,0.0006,0.93,0.0033,1.02,0.017,1.31
material,5,789,5,12.054,60.5,64.5,0.0046,0.0,0.03,0.0025,0.75,0.0083,0.64
material,5,789,6,9.953,59.92,64.5,0.0024,0.0,0.01,0.0034,1.04,0.0125,0.96
material,5,789,7,10.119,66.43,64.5,0.0021,0.0,0.01,0.0005,0.15,0.011,0.84
