run,vec_idx,step,layer,vec_norm,pc_centroid_rank,pc_centroid_rand,cos_pc1,E_top1,E_top1_over_rand,E_top5,E_top5_over_rand,E_top20,E_top20_over_rand
mixed,0,100,5,10.432,63.04,64.5,0.0367,0.0013,2.07,0.003,0.93,0.0156,1.2
mixed,0,100,6,8.6,68.28,64.5,0.048,0.0023,3.54,0.0052,1.6,0.0155,1.19
mixed,0,100,7,8.709,69.31,64.5,0.0189,0.0004,0.55,0.0031,0.96,0.0123,0.94
mixed,0,100,8,8.423,66.04,64.5,0.0047,0.0,0.03,0.0011,0.34,0.0108,0.83
mixed,0,100,9,7.265,66.08,64.5,0.0229,0.0005,0.8,0.001,0.31,0.012,0.92
mixed,0,100,10,7.649,72.06,64.5,0.0107,0.0001,0.18,0.001,0.31,0.0067,0.51
mixed,0,100,11,7.746,60.42,64.5,0.0093,0.0001,0.13,0.0021,0.63,0.0093,0.72
mixed,0,100,12,7.135,60.23,64.5,0.0087,0.0001,0.12,0.0039,1.21,0.0118,0.91
mixed,0,100,13,7.314,65.04,64.5,0.0401,0.0016,2.47,0.0021,0.66,0.0087,0.67
mixed,0,100,14,7.82,61.45,64.5,0.0327,0.0011,1.64,0.0026,0.79,0.0128,0.98
mixed,0,100,15,10.654,64.65,64.5,0.0402,0.0016,2.48,0.0049,1.5,0.0138,1.06
mixed,1,255,5,10.525,61.07,64.5,0.0643,0.0041,6.35,0.0067,2.04,0.0164,1.26
mixed,1,255,6,9.254,61.41,64.5,0.0426,0.0018,2.78,0.0028,0.87,0.0199,1.53
mixed,1,255,7,9.566,61.42,64.5,0.0271,0.0007,1.12,0.0066,2.03,0.0129,0.99
mixed,1,255,8,9.226,65.18,64.5,0.0761,0.0058,8.9,0.0094,2.9,0.0353,2.71
mixed,1,255,9,7.897,63.65,64.5,0.0577,0.0033,5.11,0.0036,1.1,0.0188,1.45
mixed,1,255,10,8.291,63.02,64.5,0.0233,0.0005,0.83,0.0067,2.05,0.0287,2.2
mixed,1,255,11,8.351,62.44,64.5,0.0255,0.0006,1.0,0.0038,1.16,0.021,1.61
mixed,1,255,12,7.736,60.74,64.5,0.0349,0.0012,1.87,0.0095,2.91,0.0218,1.68
mixed,1,255,13,7.833,72.02,64.5,0.0165,0.0003,0.42,0.001,0.3,0.0169,1.3
mixed,1,255,14,8.286,65.6,64.5,0.0186,0.0003,0.53,0.0014,0.44,0.0098,0.75
mixed,1,255,15,11.396,64.44,64.5,0.0123,0.0002,0.23,0.0057,1.76,0.0298,2.29
mixed,2,427,5,11.252,58.31,64.5,0.02,0.0004,0.62,0.0025,0.75,0.0194,1.49
mixed,2,427,6,9.586,65.41,64.5,0.0488,0.0024,3.66,0.0064,1.97,0.0142,1.09
mixed,2,427,7,9.397,61.52,64.5,0.0061,0.0,0.06,0.0039,1.21,0.0233,1.79
mixed,2,427,8,9.381,66.61,64.5,0.0048,0.0,0.04,0.0026,0.79,0.0263,2.02
mixed,2,427,9,7.959,71.78,64.5,0.0026,0.0,0.01,0.0008,0.26,0.0258,1.98
mixed,2,427,10,8.312,73.15,64.5,0.0182,0.0003,0.51,0.0039,1.21,0.0095,0.73
mixed,2,427,11,8.415,65.87,64.5,0.0372,0.0014,2.13,0.0041,1.25,0.0207,1.59
mixed,2,427,12,7.736,69.08,64.5,0.0196,0.0004,0.59,0.0037,1.15,0.014,1.08
mixed,2,427,13,7.845,68.23,64.5,0.0075,0.0001,0.09,0.0016,0.5,0.0122,0.94
mixed,2,427,14,8.621,61.88,64.5,0.0226,0.0005,0.79,0.0047,1.45,0.0281,2.16
mixed,2,427,15,10.699,65.6,64.5,0.013,0.0002,0.26,0.0011,0.33,0.0193,1.48
mixed,3,583,5,11.376,73.22,64.5,0.0331,0.0011,1.68,0.0043,1.31,0.0104,0.8
