run,vec_idx,step,layer,vec_norm,pc_centroid_rank,pc_centroid_rand,cos_pc1,E_top1,E_top1_over_rand,E_top5,E_top5_over_rand,E_top20,E_top20_over_rand
physics,0,100,5,7.402,63.41,64.5,0.0484,0.0023,3.6,0.0041,1.26,0.0213,1.64
physics,0,100,6,5.783,59.3,64.5,0.0131,0.0002,0.26,0.0018,0.55,0.0135,1.04
physics,0,100,7,5.391,62.64,64.5,0.0414,0.0017,2.63,0.006,1.86,0.0128,0.99
physics,0,100,8,5.532,69.49,64.5,0.0456,0.0021,3.2,0.0035,1.07,0.0065,0.5
physics,0,100,9,4.979,63.28,64.5,0.0002,0.0,0.0,0.0018,0.56,0.0151,1.16
physics,0,100,10,5.615,59.12,64.5,0.0076,0.0001,0.09,0.0006,0.2,0.0111,0.86
physics,0,100,11,6.0,67.16,64.5,0.0209,0.0004,0.67,0.0009,0.28,0.0047,0.36
physics,0,100,12,5.968,63.17,64.5,0.0109,0.0001,0.18,0.0019,0.6,0.0127,0.97
physics,0,100,13,6.186,62.06,64.5,0.0015,0.0,0.0,0.0011,0.34,0.0121,0.93
physics,0,100,14,6.575,61.25,64.5,0.0005,0.0,0.0,0.0021,0.64,0.025,1.92
physics,0,100,15,9.034,61.39,64.5,0.002,0.0,0.01,0.0034,1.03,0.0171,1.31
physics,1,140,5,9.018,64.13,64.5,0.0957,0.0092,14.06,0.0142,4.37,0.0209,1.61
physics,1,140,6,8.554,51.99,64.5,0.0782,0.0061,9.39,0.0093,2.86,0.0266,2.05
physics,1,140,7,8.533,54.82,64.5,0.0589,0.0035,5.33,0.0059,1.81,0.0222,1.71
physics,1,140,8,8.315,58.51,64.5,0.0535,0.0029,4.4,0.0047,1.46,0.0161,1.24
physics,1,140,9,7.958,60.38,64.5,0.0598,0.0036,5.5,0.0047,1.46,0.0172,1.32
physics,1,140,10,7.942,58.33,64.5,0.0666,0.0044,6.82,0.0056,1.73,0.0141,1.08
physics,1,140,11,8.311,68.78,64.5,0.0547,0.003,4.6,0.0037,1.13,0.0139,1.07
physics,1,140,12,7.796,63.03,64.5,0.0455,0.0021,3.18,0.0032,0.99,0.0136,1.04
physics,1,140,13,7.824,73.31,64.5,0.0343,0.0012,1.81,0.0019,0.58,0.007,0.53
physics,1,140,14,8.092,62.61,64.5,0.0147,0.0002,0.33,0.0039,1.19,0.0178,1.37
physics,1,140,15,9.251,60.87,64.5,0.016,0.0003,0.39,0.0041,1.25,0.0122,0.94
physics,2,264,5,8.597,52.54,64.5,0.0673,0.0045,6.96,0.0079,2.42,0.0313,2.4
physics,2,264,6,6.19,57.11,64.5,0.0243,0.0006,0.91,0.0067,2.04,0.0284,2.18
physics,2,264,7,5.72,62.3,64.5,0.0039,0.0,0.02,0.0081,2.49,0.0224,1.72
physics,2,264,8,6.252,63.67,64.5,0.0393,0.0015,2.37,0.0033,1.01,0.0142,1.09
physics,2,264,9,5.306,70.73,64.5,0.01,0.0001,0.15,0.0022,0.68,0.0131,1.0
physics,2,264,10,5.906,59.85,64.5,0.0139,0.0002,0.3,0.0037,1.14,0.0124,0.95
physics,2,264,11,6.34,66.62,64.5,0.0507,0.0026,3.95,0.0089,2.74,0.017,1.31
physics,2,264,12,6.275,66.08,64.5,0.0068,0.0,0.07,0.0063,1.95,0.0197,1.51
physics,2,264,13,6.504,68.29,64.5,0.0198,0.0004,0.6,0.0018,0.56,0.0151,1.16
physics,2,264,14,6.865,69.72,64.5,0.0015,0.0,0.0,0.001,0.31,0.0121,0.93
physics,2,264,15,9.138,69.27,64.5,0.0049,0.0,0.04,0.0013,0.41,0.0092,0.71
physics,3,396,5,7.804,58.96,64.5,0.052,0.0027,4.16,0.013,4.0,0.0275,2.11
physics,3,396,6,6.23,66.95,64.5,0.01,0.0001,0.15,0.0041,1.25,0.0117,0.9
physics,3,396,7,5.941,70.52,64.5,0.0219,0.0005,0.74,0.0006,0.2,0.0064,0.49
physics,3,396,8,6.01,64.38,64.5,0.0109,0.0001,0.18,0.001,0.31,0.0163,1.25
physics,3,396,9,5.388,66.77,64.5,0.0141,0.0002,0.3,0.0037,1.13,0.017,1.31
physics,3,396,10,6.236,69.62,64.5,0.0047,0.0,0.03,0.0003,0.08,0.0168,1.29
physics,3,396,11,6.549,62.91,64.5,0.0334,0.0011,1.71,0.0051,1.57,0.0186,1.43
physics,3,396,12,6.428,64.97,64.5,0.0126,0.0002,0.24,0.0045,1.38,0.0117,0.9
physics,3,396,13,6.622,66.29,64.5,0.0049,0.0,0.04,0.0012,0.36,0.0229,1.76
physics,3,396,14,7.22,70.13,64.5,0.0127,0.0002,0.25,0.002,0.62,0.0097,0.75
physics,3,396,15,9.157,74.92,64.5,0.0085,0.0001,0.11,0.0005,0.15,0.0132,1.02
physics,4,450,5,4.398,65.61,64.5,0.0146,0.0002,0.33,0.0023,0.69,0.0124,0.95
physics,4,450,6,4.477,65.7,64.5,0.0055,0.0,0.05,0.0017,0.53,0.0078,0.6
physics,4,450,7,4.656,60.12,64.5,0.0349,0.0012,1.87,0.0045,1.38,0.0264,2.03
physics,4,450,8,4.544,67.1,64.5,0.0021,0.0,0.01,0.0012,0.38,0.0118,0.9
physics,4,450,9,4.302,58.96,64.5,0.0043,0.0,0.03,0.0062,1.91,0.0346,2.66
physics,4,450,10,4.551,65.87,64.5,0.0294,0.0009,1.33,0.0012,0.37,0.0089,0.68
physics,4,450,11,4.953,69.17,64.5,0.0361,0.0013,2.0,0.0018,0.56,0.0081,0.62
physics,4,450,12,4.924,65.22,64.5,0.0385,0.0015,2.27,0.0043,1.33,0.0222,1.71
physics,4,450,13,4.944,66.82,64.5,0.0209,0.0004,0.67,0.0008,0.24,0.0158,1.21
physics,4,450,14,5.049,64.38,64.5,0.0003,0.0,0.0,0.0063,1.93,0.0291,2.24
physics,4,450,15,6.295,66.21,64.5,0.0069,0.0,0.07,0.0019,0.59,0.0185,1.42
