exp,layer,N,max_offdiag,mean_offdiag,participation_ratio,tail_energy_frac,svals
multiv16_layers8-9_lr1e-1,8,16,0.0,0.0,16.0,0.5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
multiv16_layers8-9_lr1e-1,9,16,0.0,0.0,16.0,0.5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
multiv32_layers8-9_lr1e-1,8,32,0.0,0.0,32.0,0.5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
multiv32_layers8-9_lr1e-1,9,32,0.0,0.0,32.0,0.5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,10,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,11,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,12,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,13,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,14,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,15,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,16,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,17,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,18,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,19,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers10-20_lr1e-3,20,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers15-16_lr1e-3,15,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers15-16_lr1e-3,16,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers15-16_lr1e-4,15,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers15-16_lr1e-4,16,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers3-4_lr2e-3,3,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers3-4_lr2e-3,4,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers8-9_lr2e-1,8,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers8-9_lr2e-1,9,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers8-9_lr2e-3,8,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
multiv4_layers8-9_lr2e-3,9,4,0.0,0.0,4.0,0.5,"[1.0, 1.0, 1.0, 1.0]"
