layer,cos_v0_pc1,cos_v0_pc1to5_best,cos_v0_meanshift,pc1_var_frac,cos_rand_pc1
8,0.0063,0.2353,0.0385,0.9942,0.0182
9,0.0305,0.1589,0.0196,0.9938,0.0107
10,0.0107,0.1332,0.0333,0.9934,0.0074
11,0.002,0.091,0.0416,0.9921,0.0121
12,0.018,0.0835,0.0512,0.9904,0.0328
13,0.0121,0.0554,0.0358,0.9885,0.014
14,0.0241,0.0811,0.065,0.9867,0.0022
15,0.0107,0.0422,0.0445,0.9839,0.0065
16,0.017,0.0468,0.0442,0.9817,0.0059
17,0.0057,0.0517,0.0443,0.9788,0.0003
18,0.014,0.0422,0.0434,0.9735,0.0168
19,0.0148,0.0492,0.0598,0.9688,0.0128
20,0.0049,0.0407,0.05,0.9629,0.0308
21,0.0009,0.0315,0.0466,0.9533,0.0021
22,0.0012,0.0509,0.0406,0.9414,0.0185
23,0.0046,0.0308,0.0478,0.9275,0.0054
24,0.0027,0.0331,0.0754,0.9079,0.0362
25,0.0035,0.0354,0.0729,0.8771,0.0035
