layer,cos_v0_dh,cos_v1_dh,cos_rand_dh,dh_norm,v0_norm
8,0.0385,0.0482,0.0151,33.6872,15.2918
9,0.0196,0.0559,-0.0267,32.8506,15.7291
10,0.0333,0.0355,0.0133,33.0904,14.8917
11,0.0416,0.0344,0.0173,33.9864,13.9025
12,0.0512,0.0356,-0.0261,36.0385,13.2532
13,0.0358,0.0515,-0.0035,36.1575,13.0485
14,0.065,0.0361,0.0069,36.3568,13.1407
15,0.0445,0.041,-0.0392,37.7455,13.1198
16,0.0442,0.0524,0.0341,37.2826,13.0348
17,0.0443,0.0464,0.0234,37.1643,14.6009
18,0.0434,0.0589,-0.004,37.7584,16.7691
19,0.0598,0.0269,-0.0147,38.2468,21.6043
20,0.05,0.034,-0.0087,37.8112,24.1702
21,0.0466,0.0466,0.0148,40.377,28.5714
22,0.0406,0.0589,0.0339,41.4143,33.4776
23,0.0478,0.0478,-0.0251,44.2372,40.1412
24,0.0754,0.046,0.0028,48.1639,48.0711
25,0.0729,0.0443,-0.0174,51.9575,61.6778
