layer,reflection,structural,math,other
0,0.0,0.4,0.17,0.43
1,0.0,0.36,0.155,0.485
2,0.0,0.575,0.13,0.295
3,0.005,0.35,0.095,0.55
4,0.0,0.22,0.115,0.665
5,0.005,0.125,0.11,0.76
6,0.0,0.17,0.105,0.725
7,0.0,0.35,0.205,0.445
8,0.0,0.435,0.14,0.425
9,0.0,0.13,0.325,0.545
10,0.0,0.185,0.425,0.39
11,0.0,0.055,0.355,0.59
12,0.0,0.145,0.305,0.55
13,0.0,0.23,0.315,0.455
14,0.0,0.0,0.42,0.58
15,0.0,0.24,0.385,0.375
16,0.0,0.26,0.39,0.35
17,0.0,0.365,0.38,0.255
18,0.0,0.315,0.375,0.31
19,0.0,0.35,0.415,0.235
20,0.0,0.52,0.29,0.19
21,0.0,0.49,0.29,0.22
22,0.0,0.21,0.435,0.355
23,0.0,0.39,0.19,0.42
24,0.0,0.45,0.11,0.44
25,0.0,0.445,0.16,0.395
26,0.0,0.275,0.28,0.445
27,0.0,0.4,0.21,0.39
28,0.0,0.315,0.245,0.44
29,0.0,0.29,0.3,0.41
30,0.0,0.205,0.365,0.43
31,0.0,0.11,0.54,0.35
32,0.0,0.01,0.53,0.46
33,0.0,0.175,0.51,0.315
34,0.0,0.38,0.26,0.36
