layer,reflection,structural,math,other
0,0.0,0.025,0.005,0.97
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.04,0.96
3,0.0,0.0,0.0,1.0
4,0.005,0.01,0.005,0.98
5,0.0,0.0,0.01,0.99
6,0.0,0.0,0.01,0.99
7,0.0,0.02,0.02,0.96
8,0.0,0.05,0.055,0.895
9,0.0,0.0,0.01,0.99
10,0.0,0.0,0.035,0.965
11,0.0,0.005,0.05,0.945
12,0.0,0.01,0.05,0.94
13,0.0,0.015,0.04,0.945
14,0.0,0.015,0.035,0.95
15,0.0,0.01,0.005,0.985
16,0.0,0.045,0.005,0.95
17,0.0,0.02,0.0,0.98
18,0.0,0.06,0.05,0.89
19,0.0,0.02,0.03,0.95
20,0.005,0.07,0.075,0.85
21,0.0,0.045,0.05,0.905
22,0.0,0.08,0.015,0.905
23,0.0,0.09,0.06,0.85
24,0.0,0.225,0.085,0.69
25,0.0,0.08,0.07,0.85
26,0.0,0.17,0.01,0.82
27,0.0,0.075,0.05,0.875
