model,exp,layer,step,norm,cos_final,cos_prev,step_size,rel_step,path_len
ifevalg-opd,singlev_layers10-20_lr1e-1,10,1,5.984007358551025,0.11140204966068268,1.0,0.0,0.0,0.0
ifevalg-opd,singlev_layers10-20_lr1e-1,10,2,9.132646560668945,0.13920250535011292,0.9295079112052917,4.197463512420654,0.45961085699928805,4.197463512420654
ifevalg-opd,singlev_layers10-20_lr1e-1,10,3,11.595351219177246,0.16012459993362427,0.9756774306297302,3.349062204360962,0.28882800883357773,7.546525716781616
ifevalg-opd,singlev_layers10-20_lr1e-1,10,4,13.45073413848877,0.1776627153158188,0.9868759512901306,2.7452216148376465,0.20409455622071201,10.291747331619263
ifevalg-opd,singlev_layers10-20_lr1e-1,10,5,15.02764892578125,0.1928759068250656,0.9899889826774597,2.5561347007751465,0.17009544962085674,12.84788203239441
ifevalg-opd,singlev_layers10-20_lr1e-1,10,6,16.386497497558594,0.2054380178451538,0.9926103949546814,2.342169761657715,0.1429329093667925,15.190051794052124
ifevalg-opd,singlev_layers10-20_lr1e-1,10,7,17.568492889404297,0.2164582461118698,0.9945505857467651,2.129474401473999,0.12120985077543577,17.319526195526123
ifevalg-opd,singlev_layers10-20_lr1e-1,10,8,18.598163604736328,0.22718964517116547,0.9957674145698547,1.956048846244812,0.1051743004210734,19.275575041770935
ifevalg-opd,singlev_layers10-20_lr1e-1,10,9,19.51714324951172,0.23818525671958923,0.9964768886566162,1.8445125818252563,0.09450730356613038,21.12008762359619
ifevalg-opd,singlev_layers10-20_lr1e-1,10,10,20.35365104675293,0.24946673214435577,0.9969152212142944,1.774975061416626,0.08720671575529405,22.895062685012817
ifevalg-opd,singlev_layers10-20_lr1e-1,10,11,21.10761833190918,0.2605965733528137,0.9972312450408936,1.716907262802124,0.08134064373367084,24.61196994781494
ifevalg-opd,singlev_layers10-20_lr1e-1,10,12,21.76486587524414,0.2713765799999237,0.9975317120552063,1.6431761980056763,0.07549672979490596,26.255146145820618
ifevalg-opd,singlev_layers10-20_lr1e-1,10,13,22.32826042175293,0.2819099724292755,0.9977291226387024,1.588876485824585,0.07115988687934904,27.844022631645203
ifevalg-opd,singlev_layers10-20_lr1e-1,10,14,22.81228256225586,0.2922297716140747,0.9978218078613281,1.5663398504257202,0.06866212734964598,29.410362482070923
ifevalg-opd,singlev_layers10-20_lr1e-1,10,15,23.229482650756836,0.3023173213005066,0.997951328754425,1.5314971208572388,0.06592902407180133,30.94185960292816
ifevalg-opd,singlev_layers10-20_lr1e-1,10,16,23.58830451965332,0.3123931586742401,0.9981342554092407,1.4742083549499512,0.06249742764350313,32.41606795787811
ifevalg-opd,singlev_layers10-20_lr1e-1,10,17,23.892641067504883,0.3225180506706238,0.9982877969741821,1.4221736192703247,0.0595234999451169,33.83824157714844
ifevalg-opd,singlev_layers10-20_lr1e-1,10,18,24.151187896728516,0.3327218294143677,0.9983820915222168,1.3907002210617065,0.057583098065751404,35.228941798210144
ifevalg-opd,singlev_layers10-20_lr1e-1,10,19,24.363313674926758,0.342849999666214,0.998496949672699,1.3467457294464111,0.055277609089456496,36.575687527656555
ifevalg-opd,singlev_layers10-20_lr1e-1,10,20,24.537282943725586,0.35308077931404114,0.998613178730011,1.2993040084838867,0.05295223645844337,37.87499153614044
ifevalg-opd,singlev_layers10-20_lr1e-1,10,21,24.68052101135254,0.36337435245513916,0.9987196922302246,1.2534273862838745,0.05078609911465497,39.128418922424316
ifevalg-opd,singlev_layers10-20_lr1e-1,10,22,24.797847747802734,0.3736531436443329,0.9987971186637878,1.219017505645752,0.04915819784213997,40.34743642807007
ifevalg-opd,singlev_layers10-20_lr1e-1,10,23,24.899763107299805,0.384078711271286,0.9988786578178406,1.1810519695281982,0.04743225726440554,41.52848839759827
ifevalg-opd,singlev_layers10-20_lr1e-1,10,24,24.987396240234375,0.3944780230522156,0.9989472031593323,1.1479240655899048,0.04594012335473084,42.67641246318817
ifevalg-opd,singlev_layers10-20_lr1e-1,10,25,25.052074432373047,0.404934823513031,0.9990007877349854,1.1205005645751953,0.04472685755424911,43.79691302776337
ifevalg-opd,singlev_layers10-20_lr1e-1,10,26,25.08897590637207,0.4154825806617737,0.999050498008728,1.0932304859161377,0.043574137501502415,44.890143513679504
ifevalg-opd,singlev_layers10-20_lr1e-1,10,27,25.0985164642334,0.42620405554771423,0.9990923404693604,1.0691981315612793,0.04260005299854828,45.959341645240784
ifevalg-opd,singlev_layers10-20_lr1e-1,10,28,25.082029342651367,0.43698763847351074,0.9991058707237244,1.0610262155532837,0.04230224759960052,47.02036786079407
ifevalg-opd,singlev_layers10-20_lr1e-1,10,29,25.049367904663086,0.44789353013038635,0.9991118311882019,1.0570064783096313,0.04219693216741263,48.0773743391037
ifevalg-opd,singlev_layers10-20_lr1e-1,10,30,25.006603240966797,0.45886898040771484,0.9991360306739807,1.0412863492965698,0.04164045549339919,49.11866068840027
ifevalg-opd,singlev_layers10-20_lr1e-1,10,31,24.959157943725586,0.47000476717948914,0.999150812625885,1.0305848121643066,0.04129084861307921,50.149245500564575
ifevalg-opd,singlev_layers10-20_lr1e-1,10,32,24.90346908569336,0.4812368154525757,0.9991646409034729,1.020556092262268,0.04098047901481168,51.16980159282684
ifevalg-opd,singlev_layers10-20_lr1e-1,10,33,24.838191986083984,0.49243685603141785,0.9991881251335144,1.0043094158172607,0.04043407895308733,52.174111008644104
ifevalg-opd,singlev_layers10-20_lr1e-1,10,34,24.759048461914062,0.5036073923110962,0.9992150664329529,0.9857743382453918,0.039814710155835445,53.159885346889496
ifevalg-opd,singlev_layers10-20_lr1e-1,10,35,24.674633026123047,0.5149242877960205,0.9992375373840332,0.9690495133399963,0.039273107418216234,54.12893486022949
