model,exp,layer,step,norm,cos_final,cos_prev,step_size,rel_step,path_len
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,1,0.0,0.0,1.0,0.0,0.0,0.0
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,2,0.006041230633854866,0.25694534182548523,0.0,0.006041230633854866,1.0,0.006041230633854866
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,3,0.01496884785592556,0.3217860162258148,0.9689419269561768,0.00923685822635889,0.6170720896667002,0.015278088860213757
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,4,0.021536801010370255,0.33621910214424133,0.996127188205719,0.006755380425602198,0.3136668450597372,0.022033469285815954
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,5,0.025856491178274155,0.34620198607444763,0.9939353466033936,0.0050412388518452644,0.19496995230664366,0.02707470813766122
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,6,0.03158776834607124,0.5884538888931274,0.913791298866272,0.013178355991840363,0.41719807007130444,0.04025306412950158
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,7,0.045364003628492355,0.7594871520996094,0.9135676026344299,0.02091628685593605,0.46107673888816303,0.06116935098543763
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,8,0.0562698170542717,0.794834315776825,0.9855436682701111,0.013883095234632492,0.2467236604171359,0.07505244622007012
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,9,0.06623324006795883,0.8413238525390625,0.9713419079780579,0.017688514664769173,0.26706400965164645,0.0927409608848393
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,10,0.07372450828552246,0.8493253588676453,0.9890782237052917,0.012758526019752026,0.1730567801190403,0.10549948690459132
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,11,0.07862741500139236,0.8512341976165771,0.9935169219970703,0.009959935210645199,0.12667255066784053,0.11545942211523652
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,12,0.08197655528783798,0.852360188961029,0.9952898025512695,0.008481479249894619,0.10346225478875334,0.12394090136513114
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,13,0.0939873605966568,0.911237895488739,0.9791969656944275,0.02155974693596363,0.22938985411545354,0.14550064830109477
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,14,0.10565157234668732,0.9355108141899109,0.9892501831054688,0.018696192651987076,0.1769608557328138,0.16419684095308185
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,15,0.11235842108726501,0.9424718618392944,0.9957271814346313,0.012100697495043278,0.1076972903138704,0.17629753844812512
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,16,0.11606501042842865,0.9455358982086182,0.9973323941230774,0.009127597324550152,0.07864211006277963,0.18542513577267528
ifevalg-rl,vector_single1_layers0-20_lr5e-4,0,17,0.16132885217666626,0.9999997615814209,0.9455358982086182,0.06394094973802567,0.3963392094800619,0.24936608551070094
ifevalg-rl,vector_single1_layers0-20_lr5e-4,1,1,0.0,0.0,1.0,0.0,0.0,0.0
ifevalg-rl,vector_single1_layers0-20_lr5e-4,1,2,0.006019560620188713,0.33039262890815735,0.0,0.006019560620188713,1.0,0.006019560620188713
ifevalg-rl,vector_single1_layers0-20_lr5e-4,1,3,0.014864280819892883,0.3940019905567169,0.9677348732948303,0.009165315888822079,0.6166000225558257,0.015184876509010792
ifevalg-rl,vector_single1_layers0-20_lr5e-4,1,4,0.021381601691246033,0.4100840389728546,0.9948720932006836,0.0067627630196511745,0.31628888786287496,0.021947639528661966
ifevalg-rl,vector_single1_layers0-20_lr5e-4,1,5,0.025797966867685318,0.4200843274593353,0.9910120368003845,0.00542399613186717,0.21024897658355005,0.027371635660529137
ifevalg-rl,vector_single1_layers0-20_lr5e-4,1,6,0.03208364173769951,0.6366850137710571,0.9212266802787781,0.013034932315349579,0.4062796992285646,0.040406567975878716
