model,exp,layer,step,norm,cos_final,cos_prev,step_size,rel_step,path_len
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,1,0.05052211135625839,0.9872147440910339,1.0,0.0,0.0,0.0
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,2,0.10008987784385681,0.9940363168716431,0.9972503781318665,0.049847476184368134,0.49802714578322976,0.049847476184368134
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,3,0.14948612451553345,0.9965060353279114,0.9993820190429688,0.0495830699801445,0.3316901159946267,0.09943054616451263
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,4,0.198884978890419,0.9979672431945801,0.9997234344482422,0.04956502839922905,0.24921453935713378,0.14899557456374168
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,5,0.2481405884027481,0.9987783432006836,0.9998611807823181,0.04939460754394531,0.19905896033330384,0.198390182107687
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,6,0.29739299416542053,0.9991961121559143,0.9999327659606934,0.04935317113995552,0.16595270268035817,0.24774335324764252
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,7,0.34658485651016235,0.9994896054267883,0.9999551773071289,0.04928572475910187,0.14220391870369195,0.2970290780067444
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,8,0.3957768976688385,0.999687135219574,0.9999684691429138,0.04928028956055641,0.12451532631344009,0.3463093675673008
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,9,0.4449074864387512,0.9998357892036438,0.9999713897705078,0.04923320934176445,0.11065943110072211,0.39554257690906525
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,10,0.49403682351112366,0.9999330639839172,0.9999765157699585,0.049234066158533096,0.0996566729755612,0.44477664306759834
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,11,0.5432209372520447,0.9999839663505554,0.9999814629554749,0.049285609275102615,0.09072847877407013,0.49406225234270096
qwen3-4b-opd,singlev_layers32-33_lr1e-3,32,12,0.5923242568969727,1.0000001192092896,0.9999839663505554,0.049207866191864014,0.0830758923324376,0.543270118534565
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,1,0.050511762499809265,0.9872926473617554,1.0,0.0,0.0,0.0
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,2,0.1000380888581276,0.9935300350189209,0.9974057078361511,0.049790333956480026,0.49771376607455864,0.049790333956480026
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,3,0.14930517971515656,0.9964895844459534,0.9993016719818115,0.04947839677333832,0.3313910265386163,0.09926873072981834
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,4,0.1986343115568161,0.9977704882621765,0.9997341632843018,0.04948880150914192,0.24914528170520256,0.14875753223896027
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,5,0.24779324233531952,0.9986532330513,0.9998466372489929,0.049312155693769455,0.19900524820220525,0.19806968793272972
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,6,0.2968875765800476,0.9991592168807983,0.99991774559021,0.0492175817489624,0.16577851561158952,0.24728726968169212
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,7,0.3459678590297699,0.9994702935218811,0.9999485611915588,0.04918769374489784,0.14217417156275586,0.29647496342658997
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,8,0.3950425088405609,0.9996808171272278,0.9999641180038452,0.04917417839169502,0.12447819485558632,0.345649141818285
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,9,0.44409415125846863,0.9998389482498169,0.9999672770500183,0.04916875436902046,0.11071695997275947,0.39481789618730545
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,10,0.4931691884994507,0.9999332427978516,0.9999772310256958,0.04917633533477783,0.0997149385678473,0.4439942315220833
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,11,0.542259693145752,0.999983549118042,0.9999819397926331,0.04918868467211723,0.09071056782178348,0.4931829161942005
qwen3-4b-opd,singlev_layers32-33_lr1e-3,33,12,0.5912744402885437,0.9999999403953552,0.999983549118042,0.04912116006016731,0.08307675203446312,0.5423040762543678
