model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
qwen3-4b-opd,singlev_layers0-11_lr1e-3,0,110,0.6717146039009094,0.9999645352363586,0.9995144643914808,0.6542990207672119,1.7132087252102792,0.3819143640462742,0.6818181818181818
qwen3-4b-opd,singlev_layers0-11_lr1e-3,1,110,0.6529567241668701,0.9999617338180542,0.9995317344271809,0.6350222229957581,1.6966997454874218,0.3742690624458903,0.6818181818181818
qwen3-4b-opd,singlev_layers0-11_lr1e-3,2,110,0.6825278997421265,0.9999629855155945,0.9995102258997226,0.6652013659477234,1.7030140273272991,0.39060239978861877,0.6636363636363637
qwen3-4b-opd,singlev_layers0-11_lr1e-3,3,110,0.7204163074493408,0.9999637603759766,0.9995586888505779,0.7037115693092346,1.7270507430657744,0.40746432734225335,0.6636363636363637
qwen3-4b-opd,singlev_layers0-11_lr1e-3,4,110,0.7869157791137695,0.9999672770500183,0.9995612250555546,0.7679948806762695,1.7403597156517208,0.4412851399451491,0.6454545454545455
qwen3-4b-opd,singlev_layers0-11_lr1e-3,5,110,0.8317063450813293,0.9999692440032959,0.9995562647460797,0.8136031031608582,1.7551401453092694,0.46355449468537735,0.6454545454545455
qwen3-4b-opd,singlev_layers0-11_lr1e-3,6,110,0.8481813073158264,0.9999700784683228,0.9996062675747303,0.828343391418457,1.7635593134909868,0.4696997629066081,0.6454545454545455
qwen3-4b-opd,singlev_layers0-11_lr1e-3,7,110,0.8639480471611023,0.9999704360961914,0.9996232647414601,0.843273401260376,1.761252237483859,0.4787919545613092,0.6363636363636364
qwen3-4b-opd,singlev_layers0-11_lr1e-3,8,110,0.8533719778060913,0.9999745488166809,0.9996204567611764,0.8339172005653381,1.7268443596549332,0.4829139325167531,0.6181818181818182
qwen3-4b-opd,singlev_layers0-11_lr1e-3,9,110,0.9309911131858826,0.9999772310256958,0.9996639495595879,0.9091857671737671,1.7703722920268774,0.5135562566520128,0.6
qwen3-4b-opd,singlev_layers0-11_lr1e-3,10,110,1.0347046852111816,0.9999800324440002,0.9996720546976142,1.01543390750885,1.8515352099202573,0.548428083931811,0.5909090909090909
qwen3-4b-opd,singlev_layers0-11_lr1e-3,11,110,1.1645294427871704,0.9999820590019226,0.9996845962804392,1.1444035768508911,1.9284599577076733,0.5934287472638133,0.5909090909090909
qwen3-4b-opd,singlev_layers0-1_lr1e-3,0,90,2.223424196243286,0.9999613761901855,0.9997350412808107,2.197613477706909,3.354636797681451,0.6550972907784784,0.6666666666666666
qwen3-4b-opd,singlev_layers0-1_lr1e-3,1,90,2.2459192276000977,0.9999629855155945,0.9997497562612041,2.2200589179992676,3.350030617788434,0.6626980978057054,0.6666666666666666
qwen3-4b-opd,singlev_layers10-11_lr1e-3,10,28,1.303606629371643,0.9999224543571472,0.9996893141004775,1.2564598321914673,1.283081728965044,0.9792515970163098,0.07142857142857142
qwen3-4b-opd,singlev_layers10-11_lr1e-3,11,28,1.3111412525177002,0.999923050403595,0.9997634225421481,1.2634344100952148,1.2887815721333027,0.9803324608404115,0.03571428571428571
qwen3-4b-opd,singlev_layers10-25_lr5e-5,10,400,0.49175742268562317,0.999998927116394,0.999959409386293,0.4900013208389282,0.6237084956374019,0.7856255354324924,0.5775
qwen3-4b-opd,singlev_layers10-25_lr5e-5,11,400,0.49926313757896423,0.9999991059303284,0.9999593650189259,0.49754956364631653,0.6345892354729585,0.7840498007746594,0.5825
qwen3-4b-opd,singlev_layers10-25_lr5e-5,12,400,0.4948778450489044,0.9999991655349731,0.9999553543284423,0.4931873083114624,0.6326339386287145,0.7795776960377528,0.5825
qwen3-4b-opd,singlev_layers10-25_lr5e-5,13,400,0.4877406060695648,0.999998927116394,0.9999586119687647,0.4861103594303131,0.6318564033717848,0.769336762017881,0.585
qwen3-4b-opd,singlev_layers10-25_lr5e-5,14,400,0.4797857999801636,0.9999990463256836,0.9999624253215647,0.47813424468040466,0.6302013578824699,0.7587007528625078,0.5875
qwen3-4b-opd,singlev_layers10-25_lr5e-5,15,400,0.4774705469608307,0.9999988675117493,0.9999635579592004,0.47581905126571655,0.6264888618024997,0.7595012142701401,0.5825
qwen3-4b-opd,singlev_layers10-25_lr5e-5,16,400,0.4588906466960907,0.999998927116394,0.999965460826281,0.4571360945701599,0.5889644328854047,0.7761692710892532,0.5175
