model,exp,layer,vec_norm,projE_r8,projE_r8_over_random,projE_r32,projE_r32_over_random,projE_r128,projE_r128_over_random,projE_r512,projE_r512_over_random
qwen3-4b,singlev_layers0-11_lr1e-3,0,0.6717,0.00315,1.008,0.01029,0.823,0.04709,0.942,0.18245,0.912
qwen3-4b,singlev_layers0-11_lr1e-3,1,0.653,0.00212,0.677,0.00757,0.605,0.03535,0.707,0.17973,0.899
qwen3-4b,singlev_layers0-11_lr1e-3,2,0.6825,0.00378,1.209,0.01112,0.89,0.04616,0.923,0.19076,0.954
qwen3-4b,singlev_layers0-11_lr1e-3,3,0.7204,0.00199,0.637,0.01187,0.95,0.04828,0.966,0.18207,0.91
qwen3-4b,singlev_layers0-11_lr1e-3,4,0.7869,0.00344,1.1,0.0134,1.072,0.04021,0.804,0.17698,0.885
qwen3-4b,singlev_layers0-11_lr1e-3,5,0.8317,0.00324,1.036,0.01571,1.257,0.04506,0.901,0.19939,0.997
qwen3-4b,singlev_layers0-11_lr1e-3,6,0.8482,0.00143,0.456,0.01177,0.942,0.04645,0.929,0.19108,0.955
qwen3-4b,singlev_layers0-11_lr1e-3,7,0.8639,0.00214,0.684,0.01007,0.806,0.04356,0.871,0.16135,0.807
qwen3-4b,singlev_layers0-11_lr1e-3,8,0.8534,0.00232,0.743,0.01053,0.842,0.04715,0.943,0.18788,0.939
qwen3-4b,singlev_layers0-11_lr1e-3,9,0.931,0.00138,0.441,0.01288,1.03,0.05182,1.036,0.1947,0.973
qwen3-4b,singlev_layers0-11_lr1e-3,10,1.0347,0.00286,0.916,0.01364,1.091,0.04678,0.936,0.17886,0.894
qwen3-4b,singlev_layers0-11_lr1e-3,11,1.1645,0.00219,0.701,0.01409,1.127,0.05266,1.053,0.19943,0.997
qwen3-4b,singlev_layers0-1_lr1e-3,0,2.2234,0.00312,0.998,0.01986,1.589,0.06077,1.215,0.18403,0.92
qwen3-4b,singlev_layers0-1_lr1e-3,1,2.2459,0.0027,0.864,0.01326,1.061,0.04475,0.895,0.17697,0.885
qwen3-4b,singlev_layers10-11_lr1e-3,10,1.3036,0.0017,0.544,0.00634,0.508,0.042,0.84,0.17546,0.877
qwen3-4b,singlev_layers10-11_lr1e-3,11,1.3111,0.00217,0.695,0.00874,0.699,0.04635,0.927,0.19384,0.969
qwen3-4b,singlev_layers10-25_lr5e-5,10,0.4918,0.00277,0.886,0.01074,0.859,0.04449,0.89,0.1756,0.878
qwen3-4b,singlev_layers10-25_lr5e-5,11,0.4993,0.00166,0.53,0.00782,0.625,0.05196,1.039,0.20892,1.045
qwen3-4b,singlev_layers10-25_lr5e-5,12,0.4949,0.00154,0.494,0.00859,0.687,0.04408,0.882,0.1964,0.982
qwen3-4b,singlev_layers10-25_lr5e-5,13,0.4877,0.00325,1.039,0.01366,1.093,0.05513,1.103,0.20104,1.005
qwen3-4b,singlev_layers10-25_lr5e-5,14,0.4798,0.00193,0.619,0.01279,1.023,0.04257,0.851,0.20394,1.02
qwen3-4b,singlev_layers10-25_lr5e-5,15,0.4775,0.00425,1.361,0.02011,1.609,0.05251,1.05,0.19955,0.998
qwen3-4b,singlev_layers10-25_lr5e-5,16,0.4589,0.0044,1.409,0.01884,1.507,0.04662,0.932,0.18124,0.906
qwen3-4b,singlev_layers10-25_lr5e-5,17,0.4392,0.00258,0.825,0.00989,0.792,0.05923,1.185,0.2148,1.074
qwen3-4b,singlev_layers10-25_lr5e-5,18,0.4451,0.00457,1.463,0.01559,1.247,0.06028,1.206,0.19666,0.983
qwen3-4b,singlev_layers10-25_lr5e-5,19,0.4465,0.00212,0.678,0.01296,1.037,0.04692,0.938,0.19274,0.964
qwen3-4b,singlev_layers10-25_lr5e-5,20,0.4369,0.0035,1.121,0.01436,1.148,0.04595,0.919,0.18645,0.932
qwen3-4b,singlev_layers10-25_lr5e-5,21,0.4446,0.00321,1.028,0.01187,0.949,0.04527,0.905,0.18133,0.907
qwen3-4b,singlev_layers10-25_lr5e-5,22,0.439,0.00278,0.889,0.01246,0.997,0.05039,1.008,0.20613,1.031
qwen3-4b,singlev_layers10-25_lr5e-5,23,0.4521,0.00328,1.049,0.01405,1.124,0.0503,1.006,0.18381,0.919
qwen3-4b,singlev_layers10-25_lr5e-5,24,0.4419,0.0076,2.431,0.0252,2.016,0.05766,1.153,0.19167,0.958
qwen3-4b,singlev_layers10-25_lr5e-5,25,0.4588,0.00715,2.288,0.02503,2.003,0.05399,1.08,0.18823,0.941
qwen3-4b,singlev_layers12-23_lr1e-3,12,1.048,0.00343,1.096,0.01352,1.081,0.04514,0.903,0.1872,0.936
qwen3-4b,singlev_layers12-23_lr1e-3,13,0.9482,0.00288,0.923,0.01939,1.551,0.06532,1.306,0.20348,1.017
qwen3-4b,singlev_layers12-23_lr1e-3,14,0.8525,0.00066,0.21,0.01537,1.23,0.04544,0.909,0.20817,1.041
qwen3-4b,singlev_layers12-23_lr1e-3,15,0.8594,0.00372,1.189,0.02167,1.734,0.04671,0.934,0.18857,0.943
qwen3-4b,singlev_layers12-23_lr1e-3,16,0.8235,0.00369,1.18,0.01842,1.474,0.04467,0.893,0.18217,0.911
qwen3-4b,singlev_layers12-23_lr1e-3,17,0.7579,0.00461,1.477,0.01361,1.089,0.06217,1.243,0.22556,1.128
qwen3-4b,singlev_layers12-23_lr1e-3,18,0.7866,0.00926,2.962,0.0207,1.656,0.06309,1.262,0.20982,1.049
qwen3-4b,singlev_layers12-23_lr1e-3,19,0.77,0.00382,1.222,0.01297,1.038,0.04602,0.92,0.19773,0.989
qwen3-4b,singlev_layers12-23_lr1e-3,20,0.7849,0.00253,0.809,0.00914,0.731,0.03675,0.735,0.17728,0.886
qwen3-4b,singlev_layers12-23_lr1e-3,21,0.8228,0.00165,0.527,0.00574,0.459,0.03175,0.635,0.17066,0.853
qwen3-4b,singlev_layers12-23_lr1e-3,22,0.8894,0.00156,0.5,0.00618,0.494,0.03839,0.768,0.19816,0.991
qwen3-4b,singlev_layers12-23_lr1e-3,23,0.9862,0.00265,0.849,0.0106,0.848,0.04747,0.949,0.17358,0.868
qwen3-4b,singlev_layers15-16_lr1e-3,15,2.1003,0.00504,1.614,0.01806,1.445,0.05205,1.041,0.198,0.99
qwen3-4b,singlev_layers15-16_lr1e-3,16,2.1294,0.00415,1.328,0.01696,1.357,0.05116,1.023,0.18798,0.94
qwen3-4b,singlev_layers20-21_lr1e-3,20,1.4936,0.00343,1.098,0.01408,1.126,0.05076,1.015,0.19505,0.975
qwen3-4b,singlev_layers20-21_lr1e-3,21,1.4883,0.00435,1.391,0.01408,1.126,0.05226,1.045,0.20224,1.011
qwen3-4b,singlev_layers24-25_lr1e-3,24,1.1649,0.00817,2.615,0.02236,1.789,0.05185,1.037,0.18558,0.928
qwen3-4b,singlev_layers24-25_lr1e-3,25,1.164,0.00628,2.008,0.01663,1.331,0.04898,0.98,0.19046,0.952
qwen3-4b,singlev_layers24-25_lr6e-3,24,17.9233,0.00505,1.617,0.01763,1.41,0.04414,0.883,0.18033,0.902
qwen3-4b,singlev_layers24-25_lr6e-3,25,15.9116,0.00849,2.718,0.01409,1.127,0.04272,0.854,0.18716,0.936
qwen3-4b,singlev_layers24-35_lr1e-3,24,3.7503,0.00637,2.037,0.02421,1.937,0.05465,1.093,0.19271,0.964
qwen3-4b,singlev_layers24-35_lr1e-3,25,3.6912,0.00907,2.902,0.02219,1.775,0.04913,0.983,0.18698,0.935
qwen3-4b,singlev_layers24-35_lr1e-3,26,3.5917,0.00942,3.015,0.02198,1.759,0.05365,1.073,0.18712,0.936
qwen3-4b,singlev_layers24-35_lr1e-3,27,3.4796,0.01276,4.082,0.02475,1.98,0.05775,1.155,0.20541,1.027
qwen3-4b,singlev_layers24-35_lr1e-3,28,3.4264,0.01433,4.585,0.02646,2.117,0.05875,1.175,0.20467,1.023
qwen3-4b,singlev_layers24-35_lr1e-3,29,3.4166,0.01262,4.038,0.02697,2.158,0.06432,1.286,0.19163,0.958
qwen3-4b,singlev_layers24-35_lr1e-3,30,3.312,0.01165,3.727,0.03148,2.518,0.06665,1.333,0.1964,0.982
qwen3-4b,singlev_layers24-35_lr1e-3,31,3.2637,0.01228,3.929,0.0338,2.704,0.07479,1.496,0.1942,0.971
qwen3-4b,singlev_layers24-35_lr1e-3,32,3.2741,0.01391,4.452,0.02846,2.277,0.0747,1.494,0.19896,0.995
qwen3-4b,singlev_layers24-35_lr1e-3,33,3.2437,0.00736,2.355,0.01836,1.469,0.06751,1.35,0.19116,0.956
qwen3-4b,singlev_layers24-35_lr1e-3,34,3.4056,0.00978,3.131,0.02209,1.767,0.07041,1.408,0.20254,1.013
qwen3-4b,singlev_layers3-4_lr1e-3,3,1.2362,0.00196,0.627,0.01171,0.937,0.05616,1.123,0.1959,0.98
qwen3-4b,singlev_layers3-4_lr1e-3,4,1.2343,0.00331,1.06,0.01093,0.874,0.05287,1.057,0.18699,0.935
qwen3-4b,singlev_layers3-4_lr2e-3,3,2.5349,0.00248,0.795,0.0097,0.776,0.04402,0.88,0.19163,0.958
qwen3-4b,singlev_layers3-4_lr2e-3,4,2.7114,0.00387,1.238,0.0115,0.92,0.04565,0.913,0.19499,0.975
qwen3-4b,singlev_layers32-33_lr1e-3,32,0.5923,0.00962,3.08,0.01998,1.599,0.05968,1.194,0.1779,0.89
qwen3-4b,singlev_layers32-33_lr1e-3,33,0.5913,0.00571,1.826,0.01408,1.126,0.0576,1.152,0.18059,0.903
qwen3-4b,singlev_layers7-8_lr1e-3,7,2.933,0.00306,0.98,0.01346,1.076,0.05111,1.022,0.19331,0.967
qwen3-4b,singlev_layers7-8_lr1e-3,8,2.893,0.00365,1.169,0.0148,1.184,0.05242,1.048,0.20326,1.016
