model,layer,vec_norm,projE_r8_over_random,projE_r32_over_random,projE_r128_over_random,projE_r512_over_random
deepseek7b,0,25.9254,13.645,4.578,1.985,1.238
deepseek7b,1,46.2542,2.64,1.166,1.156,0.956
deepseek7b,2,19.673,0.791,0.607,0.925,1.068
deepseek7b,3,40.4485,7.633,2.576,1.498,1.112
deepseek7b,4,60.3656,1.559,0.993,1.054,0.999
deepseek7b,5,28.2669,1.967,1.306,1.057,0.959
deepseek7b,6,34.5831,2.143,1.119,0.936,1.015
deepseek7b,7,36.4871,1.591,1.587,1.015,0.971
deepseek7b,8,37.0303,0.173,0.787,0.932,1.015
deepseek7b,9,40.3585,1.135,1.077,1.13,1.011
deepseek7b,10,89.0942,0.759,0.784,1.161,1.074
deepseek7b,11,82.8044,0.726,0.863,1.07,0.99
deepseek7b,12,78.2302,1.17,1.121,1.164,1.032
deepseek7b,13,79.3397,0.739,0.993,1.103,0.983
deepseek7b,14,80.1868,0.748,0.926,1.112,1.057
deepseek7b,15,79.4219,0.46,0.763,0.807,1.029
deepseek7b,16,80.6831,0.87,0.802,0.806,0.982
deepseek7b,17,83.0627,1.421,0.859,0.927,0.997
deepseek7b,18,83.9749,1.016,0.893,0.965,0.896
deepseek7b,19,86.3168,1.13,1.183,1.006,0.936
deepseek7b,20,169.9601,1.355,1.519,1.084,0.955
deepseek7b,21,184.1914,1.456,1.393,0.875,0.923
deepseek7b,22,128.7565,0.698,0.916,0.988,1.051
deepseek7b,23,123.3183,1.357,1.098,1.186,1.059
deepseek7b,24,117.0909,0.596,0.546,0.897,0.96
deepseek7b,25,135.6857,1.03,1.254,1.077,1.016
deepseek7b,26,144.5932,1.386,1.005,0.963,1.026
deepseek7b,27,149.5979,5.778,3.968,1.731,1.05
